cc_p20,cc_p40,cc_p60,cc_p80,cc_default,date,x,y,cc_p20_perc,cc_p40_perc,cc_p60_perc,cc_p80_perc,cc_default_perc,harvested,ndvi
190129,155151,136095,116070,,2017-03-02,1536,1536,72.5,59.2,51.9,44.3,,95,0.09305928407479516
18658,9103,5990,3870,,2017-03-12,1536,1536,7.1,3.5,2.3,1.5,,47,0.4780714556060223
6268,2032,362,0,,2017-04-01,1536,1536,2.4,0.8,0.1,0.0,,240,0.4613940517358912
16344,6150,2931,165,,2017-04-11,1536,1536,6.2,2.3,1.1,0.1,,166,0.4464046903703308
170380,128450,107445,80940,,2017-05-01,1536,1536,65.0,49.0,41.0,30.9,,215,0.14504499446330596
9252,3136,906,65,,2017-05-11,1536,1536,3.5,1.2,0.3,0.0,,370,0.4446359160999803
54982,12197,6305,3032,,2017-05-21,1536,1536,21.0,4.7,2.4,1.2,,253,0.4093768768854657
261793,261302,260749,259811,,2017-05-31,1536,1536,99.9,99.7,99.5,99.1,,324,0.11346286523958607
8557,1104,48,0,,2017-06-20,1536,1536,3.3,0.4,0.0,0.0,,290,0.457695283256254
195612,102065,74149,52838,,2017-07-10,1536,1536,74.6,38.9,28.3,20.2,,73,0.1042227522190296
10763,1265,36,0,,2017-07-20,1536,1536,4.1,0.5,0.0,0.0,,0,
58813,26087,17565,12263,,2017-07-30,1536,1536,22.4,10.0,6.7,4.7,,227,0.4113260172179014
3239,684,112,1,,2017-08-09,1536,1536,1.2,0.3,0.0,0.0,,838,0.3484841414114905
1995,118,8,1,,2017-08-19,1536,1536,0.8,0.0,0.0,0.0,,1363,0.26227385737685616
1524,33,6,2,,2017-09-08,1536,1536,0.6,0.0,0.0,0.0,,2017,0.13260754797172827
55539,32612,24890,19160,,2017-09-18,1536,1536,21.2,12.4,9.5,7.3,,1964,0.16517216793660858
174585,128867,112946,98854,,2017-09-28,1536,1536,66.6,49.2,43.1,37.7,,195,0.07013312488855983
39485,24868,19220,14461,,2017-10-08,1536,1536,15.1,9.5,7.3,5.5,,716,0.08337847047326202
2332,315,15,0,,2017-10-28,1536,1536,0.9,0.1,0.0,0.0,,1675,0.1939759690936116
67789,47166,40195,31446,,2017-11-07,1536,1536,25.9,18.0,15.3,12.0,,1445,0.20627199595241846
181044,144335,130696,119635,,2017-11-17,1536,1536,69.1,55.1,49.9,45.6,,993,0.1216422434248282
173638,126027,113531,104228,,2017-11-27,1536,1536,66.2,48.1,43.3,39.8,,1077,0.17413388747259895
256486,254728,253328,251375,,2017-12-07,1536,1536,97.8,97.2,96.6,95.9,,210,0.25064613532100544
238174,208095,190478,174222,,2017-12-17,1536,1536,90.9,79.4,72.7,66.5,,57,0.03026575683116981
73758,53003,46137,39346,,2017-12-27,1536,1536,28.1,20.2,17.6,15.0,,1630,0.16481256998606394
184359,113035,77288,51731,,2018-01-06,1536,1536,70.3,43.1,29.5,19.7,,332,0.17529128325355078
211885,165401,150469,139182,,2018-01-26,1536,1536,80.8,63.1,57.4,53.1,,1355,0.13827768314637134
121350,74212,54659,34770,,2018-02-15,1536,1536,46.3,28.3,20.9,13.3,,936,0.1986990600656453
9772,3148,913,17,,2018-03-17,1536,1536,3.7,1.2,0.3,0.0,,175,0.2376461818285649
241061,181196,148005,122573,,2018-04-16,1536,1536,92.0,69.1,56.5,46.8,,6,0.42524738180883503
5943,1690,535,3,,2018-04-26,1536,1536,2.3,0.6,0.2,0.0,,94,0.4336221370241499
207810,171003,144422,111095,,2018-05-06,1536,1536,79.3,65.2,55.1,42.4,,1476,0.2265104175568388
16912,4574,2603,1072,,2018-05-26,1536,1536,6.5,1.7,1.0,0.4,,1275,0.21627966568749868
4610,280,11,0,,2018-06-05,1536,1536,1.8,0.1,0.0,0.0,,1878,0.19778266959387336
6222,609,265,79,,2018-06-15,1536,1536,2.4,0.2,0.1,0.0,,1772,0.18147133993717146
229965,198905,172974,141387,,2018-06-25,1536,1536,87.7,75.9,66.0,53.9,,1157,0.0968149648975034
16616,10077,8077,5884,,2018-07-05,1536,1536,6.3,3.8,3.1,2.2,,1273,0.2639047187150466
1420,14,1,0,,2018-07-15,1536,1536,0.5,0.0,0.0,0.0,,771,0.3241998823526985
2169,87,6,0,,2018-07-25,1536,1536,0.8,0.0,0.0,0.0,,576,0.3817434869824845
34877,16329,10849,6230,,2018-08-04,1536,1536,13.3,6.2,4.1,2.4,,642,0.33038429931347857
4011,322,8,0,,2018-08-14,1536,1536,1.5,0.1,0.0,0.0,,740,0.4537442911391786
5215,1208,372,78,,2018-08-24,1536,1536,2.0,0.5,0.1,0.0,,759,0.4667705414314957
1118,29,5,1,,2018-09-03,1536,1536,0.4,0.0,0.0,0.0,,758,0.4894782540196417
86892,63885,56356,47609,,2018-09-13,1536,1536,33.1,24.4,21.5,18.2,,750,0.4307303770481316
259336,251246,239433,220042,,2018-10-03,1536,1536,98.9,95.8,91.3,83.9,,56,0.058599748082998414
117708,81525,71411,62197,,2018-10-23,1536,1536,44.9,31.1,27.2,23.7,,1712,0.17364142036639804
136488,95508,79607,65440,,2018-11-02,1536,1536,52.1,36.4,30.4,25.0,,2260,0.1574710556880314
93831,68164,59965,53940,,2018-11-12,1536,1536,35.8,26.0,22.9,20.6,,2322,0.13690099784850454
223901,135381,97783,72599,,2018-11-22,1536,1536,85.4,51.6,37.3,27.7,,1998,0.08639432802982844
71053,35906,28994,23515,,2018-12-02,1536,1536,27.1,13.7,11.1,9.0,,2406,0.1031847122745579
214491,169394,151519,134668,,2019-01-01,1536,1536,81.8,64.6,57.8,51.4,,115,0.15382264936526496
166736,106531,93784,85533,,2019-01-21,1536,1536,63.6,40.6,35.8,32.6,,224,0.6010638839468838
4176,1235,379,41,,2019-02-20,1536,1536,1.6,0.5,0.1,0.0,,66,0.3894505169457804
89774,54794,42036,30094,,2019-03-02,1536,1536,34.2,20.9,16.0,11.5,,1249,0.2306563523597389
4847,987,219,1,,2019-03-12,1536,1536,1.8,0.4,0.1,0.0,,909,0.2456355471029727
199638,90287,69890,59850,,2019-04-11,1536,1536,76.2,34.4,26.7,22.8,,88,0.3781815431960103
179366,138717,120779,101122,,2019-04-21,1536,1536,68.4,52.9,46.1,38.6,,68,0.2225458175423765
50145,27690,19092,9252,,2019-05-01,1536,1536,19.1,10.6,7.3,3.5,,204,0.3987690999882009
4355,835,124,4,,2019-05-11,1536,1536,1.7,0.3,0.0,0.0,,444,0.3706528602787268
208678,133836,110001,96123,,2019-05-21,1536,1536,79.6,51.1,42.0,36.7,,528,0.12608186878129388
39100,18939,13780,8486,,2019-06-10,1536,1536,14.9,7.2,5.3,3.2,,2322,0.12575992442975645
2222,268,106,54,,2019-06-20,1536,1536,0.8,0.1,0.0,0.0,,2277,0.14749385579944713
2146,374,88,13,,2019-06-30,1536,1536,0.8,0.1,0.0,0.0,,2313,0.1410573431472195
1398,157,49,0,,2019-07-20,1536,1536,0.5,0.1,0.0,0.0,,2035,0.16757566062899262
5962,1168,475,132,,2019-07-30,1536,1536,2.3,0.4,0.2,0.1,,1734,0.18932479678500624
1236,127,72,10,,2019-08-09,1536,1536,0.5,0.0,0.0,0.0,,1343,0.2674988636138382
31840,13589,9363,6515,15034,2016-12-22,2048,1024,12.1,5.2,3.6,2.5,5.7,365,0.2507554221973155
39425,19360,13853,9073,21759,2017-01-01,2048,1024,15.0,7.4,5.3,3.5,8.3,471,0.2514234426252437
56630,30220,23762,17555,33509,2017-01-11,2048,1024,21.6,11.5,9.1,6.7,12.8,112,0.3109780886504667
17211,3530,1352,416,3420,2017-02-10,2048,1024,6.6,1.3,0.5,0.2,1.3,3,0.5276100369811304
241617,189875,158168,139188,201572,2017-02-20,2048,1024,92.2,72.4,60.3,53.1,76.9,35,0.3774656891674673
26613,6835,2982,1689,6625,2017-03-02,2048,1024,10.2,2.6,1.1,0.6,2.5,215,0.27603273894934266
21495,11175,7444,4288,13412,2017-03-12,2048,1024,8.2,4.3,2.8,1.6,5.1,182,0.36007628678243725
5438,577,120,10,0,2017-04-01,2048,1024,2.1,0.2,0.0,0.0,0.0,271,0.33525438147890185
5658,430,55,1,0,2017-04-11,2048,1024,2.2,0.2,0.0,0.0,0.0,210,0.3040966290561988
262020,260762,257691,250330,261776,2017-05-01,2048,1024,100.0,99.5,98.3,95.5,99.9,75,0.1340265957970757
3687,397,113,8,0,2017-05-11,2048,1024,1.4,0.2,0.0,0.0,0.0,445,0.27332379984396826
20607,381,28,1,214,2017-05-21,2048,1024,7.9,0.1,0.0,0.0,0.1,387,0.2663006757290985
235815,203185,183014,162583,215808,2017-05-31,2048,1024,90.0,77.5,69.8,62.0,82.3,66,0.1946605392033925
6538,743,98,2,198,2017-06-20,2048,1024,2.5,0.3,0.0,0.0,0.1,251,0.3112410615273403
55038,6709,3005,1314,6224,2017-07-10,2048,1024,21.0,2.6,1.1,0.5,2.4,68,0.14421588305617294
5502,308,55,3,0,2017-07-20,2048,1024,2.1,0.1,0.0,0.0,0.0,0,
10462,837,94,2,195,2017-07-30,2048,1024,4.0,0.3,0.0,0.0,0.1,488,0.22203561413873146
1647,174,48,6,0,2017-08-09,2048,1024,0.6,0.1,0.0,0.0,0.0,531,0.2341695448467115
1574,116,29,5,0,2017-08-19,2048,1024,0.6,0.0,0.0,0.0,0.0,488,0.2431335771824761
2582,897,583,335,982,2017-09-08,2048,1024,1.0,0.3,0.2,0.1,0.4,479,0.2803455264623581
28724,10056,7377,5990,10518,2017-09-18,2048,1024,11.0,3.8,2.8,2.3,4.0,397,0.2808264008566858
158593,102488,88882,77008,114563,2017-09-28,2048,1024,60.5,39.1,33.9,29.4,43.7,158,0.2657821755993914
83030,57778,47454,38934,65683,2017-10-08,2048,1024,31.7,22.0,18.1,14.9,25.1,149,0.3460535350348969
4509,751,215,19,379,2017-10-28,2048,1024,1.7,0.3,0.1,0.0,0.1,79,0.4268255461951115
51740,31657,23592,13256,37254,2017-11-07,2048,1024,19.7,12.1,9.0,5.1,14.2,22,0.2951098971879179
181769,127480,112392,101776,138540,2017-11-17,2048,1024,69.3,48.6,42.9,38.8,52.8,146,0.3420020343968377
77715,54649,47641,41728,59570,2017-11-27,2048,1024,29.6,20.8,18.2,15.9,22.7,222,0.12643055888755433
215746,193799,173648,152118,203885,2017-12-07,2048,1024,82.3,73.9,66.2,58.0,77.8,8,0.2924112792386694
192058,132926,113777,96613,146804,2017-12-17,2048,1024,73.3,50.7,43.4,36.9,56.0,0,0.016328745020670124
46642,25521,18879,13683,29293,2017-12-27,2048,1024,17.8,9.7,7.2,5.2,11.2,117,0.3932082175468929
209928,121595,82970,59725,139959,2018-01-06,2048,1024,80.1,46.4,31.7,22.8,53.4,54,0.2752624776473159
68185,36425,27999,22058,41185,2018-01-26,2048,1024,26.0,13.9,10.7,8.4,15.7,23,0.02252454757755392
21806,6398,2850,471,6902,2018-02-15,2048,1024,8.3,2.4,1.1,0.2,2.6,50,0.3077356193727952
14835,5325,2493,1004,5605,2018-03-17,2048,1024,5.7,2.0,1.0,0.4,2.1,0,0.43379866288102586
110477,14695,3204,316,15551,2018-04-16,2048,1024,42.1,5.6,1.2,0.1,5.9,0,0.5100862434162734
7429,964,350,8,437,2018-04-26,2048,1024,2.8,0.4,0.1,0.0,0.2,0,0.5722468841229701
52851,15063,6319,2067,16922,2018-05-06,2048,1024,20.2,5.7,2.4,0.8,6.5,3,0.487195295653645
16933,1549,305,35,1375,2018-05-26,2048,1024,6.5,0.6,0.1,0.0,0.5,134,0.4694052280497589
13279,1369,197,10,828,2018-06-05,2048,1024,5.1,0.5,0.1,0.0,0.3,159,0.4597168934198406
18079,2060,1037,485,1984,2018-06-15,2048,1024,6.9,0.8,0.4,0.2,0.8,153,0.4164991640189902
260808,259220,257071,253045,261846,2018-06-25,2048,1024,99.5,98.9,98.1,96.5,99.9,320,0.06751000736610505
12252,3675,1624,643,4062,2018-07-05,2048,1024,4.7,1.4,0.6,0.2,1.5,143,0.4358171687691661
3061,237,35,2,0,2018-07-15,2048,1024,1.2,0.1,0.0,0.0,0.0,152,0.4391684650718742
2833,145,20,0,0,2018-07-25,2048,1024,1.1,0.1,0.0,0.0,0.0,153,0.3912587994617188
8403,2460,1711,978,2874,2018-08-04,2048,1024,3.2,0.9,0.7,0.4,1.1,500,0.16438132978382047
7487,1084,105,5,974,2018-08-14,2048,1024,2.9,0.4,0.0,0.0,0.4,775,0.20375414390357885
34278,21645,16688,11810,25876,2018-08-24,2048,1024,13.1,8.3,6.4,4.5,9.9,788,0.195882372239696
722,84,16,1,0,2018-09-03,2048,1024,0.3,0.0,0.0,0.0,0.0,702,0.23287414627901346
54881,33532,26956,19658,38343,2018-09-13,2048,1024,20.9,12.8,10.3,7.5,14.6,668,0.24238190503010298
261393,259077,254539,240353,260697,2018-10-03,2048,1024,99.7,98.8,97.1,91.7,99.4,185,0.06494758396433067
76592,46847,38035,30896,53497,2018-10-23,2048,1024,29.2,17.9,14.5,11.8,20.4,728,0.16394262591488495
11438,1224,257,21,623,2018-11-02,2048,1024,4.4,0.5,0.1,0.0,0.2,726,0.2020973545019266
14840,2034,432,46,1152,2018-11-12,2048,1024,5.7,0.8,0.2,0.0,0.4,829,0.14368545894835547
37641,4637,1022,287,3624,2018-11-22,2048,1024,14.4,1.8,0.4,0.1,1.4,882,0.08863857241109553
72277,27497,19399,14658,32773,2018-12-02,2048,1024,27.6,10.5,7.4,5.6,12.5,577,0.0066197465300235035
95046,19999,6492,2317,21687,2019-01-01,2048,1024,36.3,7.6,2.5,0.9,8.3,241,0.17694436223150956
112436,62011,50170,42347,66906,2019-01-21,2048,1024,42.9,23.7,19.1,16.2,25.5,235,0.2037345641591833
8904,3395,1685,236,3592,2019-02-20,2048,1024,3.4,1.3,0.6,0.1,1.4,29,0.2811355092654573
128690,96494,85477,75108,102104,2019-03-02,2048,1024,49.1,36.8,32.6,28.7,38.9,199,0.16974891948513546
21997,10036,6114,1698,11610,2019-03-12,2048,1024,8.4,3.8,2.3,0.6,4.4,198,0.20388740669441194
211133,83058,57639,49772,86673,2019-04-11,2048,1024,80.5,31.7,22.0,19.0,33.1,63,0.1933520973453792
142948,107433,92240,77874,116313,2019-04-21,2048,1024,54.5,41.0,35.2,29.7,44.4,23,0.08042682692158877
53311,17238,7929,2183,20574,2019-05-01,2048,1024,20.3,6.6,3.0,0.8,7.8,77,0.25236687625673804
4129,346,33,9,103,2019-05-11,2048,1024,1.6,0.1,0.0,0.0,0.0,397,0.24003748495200786
164185,43636,23746,13202,48951,2019-05-21,2048,1024,62.6,16.6,9.1,5.0,18.7,512,0.17200931287634336
46544,22159,15947,10259,25534,2019-06-10,2048,1024,17.8,8.5,6.1,3.9,9.7,791,0.09978643247235487
2835,295,76,3,0,2019-06-20,2048,1024,1.1,0.1,0.0,0.0,0.0,798,0.14124296769146447
4905,489,41,0,197,2019-06-30,2048,1024,1.9,0.2,0.0,0.0,0.1,825,0.13076635070621015
3676,327,76,9,0,2019-07-20,2048,1024,1.4,0.1,0.0,0.0,0.0,779,0.14163801624254127
46735,24552,14319,6514,27653,2019-07-30,2048,1024,17.8,9.4,5.5,2.5,10.5,806,0.12719611783794138
1954,149,30,1,0,2019-08-09,2048,1024,0.7,0.1,0.0,0.0,0.0,778,0.15102157012826165
12542,7254,2499,142,7883,2016-12-22,2048,1536,4.8,2.8,1.0,0.1,3.0,1240,0.37069897663078455
24933,9195,7475,4516,9609,2017-01-01,2048,1536,9.5,3.5,2.9,1.7,3.7,1462,0.38490493721964397
112258,65607,46187,20201,75295,2017-01-11,2048,1536,42.8,25.0,17.6,7.7,28.7,73,0.3963624009466068
117669,81210,69305,59530,88248,2017-02-10,2048,1536,44.9,31.0,26.4,22.7,33.7,42,0.646841435571458
252017,239109,233017,226504,243320,2017-02-20,2048,1536,96.1,91.2,88.9,86.4,92.8,240,0.2926543060807373
110344,70431,59376,47778,76783,2017-03-02,2048,1536,42.1,26.9,22.7,18.2,29.3,1082,0.4136639932184876
14435,6558,3988,2005,7367,2017-03-12,2048,1536,5.5,2.5,1.5,0.8,2.8,911,0.5041635431755256
8674,2739,866,137,3213,2017-04-01,2048,1536,3.3,1.0,0.3,0.1,1.2,824,0.4530126748844032
11879,5511,1769,14,6605,2017-04-11,2048,1536,4.5,2.1,0.7,0.0,2.5,939,0.4242095205527679
255279,233294,217151,195260,244150,2017-05-01,2048,1536,97.4,89.0,82.8,74.5,93.1,412,0.101682261398736
6124,1017,160,2,982,2017-05-11,2048,1536,2.3,0.4,0.1,0.0,0.4,1108,0.3864329124337312
20596,1116,215,32,951,2017-05-21,2048,1536,7.9,0.4,0.1,0.0,0.4,864,0.3590136992567775
257748,252798,247258,236896,258302,2017-05-31,2048,1536,98.3,96.4,94.3,90.4,98.5,508,0.13211878701929866
6045,430,32,0,0,2017-06-20,2048,1536,2.3,0.2,0.0,0.0,0.0,565,0.42120018692317424
100444,38319,26169,17917,43995,2017-07-10,2048,1536,38.3,14.6,10.0,6.8,16.8,251,0.16622155865228566
9852,1806,891,191,1842,2017-07-20,2048,1536,3.8,0.7,0.3,0.1,0.7,0,
21047,6658,3533,910,7552,2017-07-30,2048,1536,8.0,2.5,1.3,0.3,2.9,1173,0.39299085300517184
5232,2287,1562,17,2726,2017-08-09,2048,1536,2.0,0.9,0.6,0.0,1.0,1249,0.3885772377685381
3381,970,152,4,1188,2017-08-19,2048,1536,1.3,0.4,0.1,0.0,0.5,1744,0.3474785437205089
1548,31,7,0,0,2017-09-08,2048,1536,0.6,0.0,0.0,0.0,0.0,2644,0.280186708395025
19035,6299,4478,3085,6882,2017-09-18,2048,1536,7.3,2.4,1.7,1.2,2.6,2513,0.2758401112163757
144074,101038,86355,75254,111814,2017-09-28,2048,1536,55.0,38.5,32.9,28.7,42.7,2004,0.14218105190792935
8982,2924,1879,1100,3381,2017-10-08,2048,1536,3.4,1.1,0.7,0.4,1.3,2626,0.2221253497220277
2225,192,30,2,0,2017-10-28,2048,1536,0.8,0.1,0.0,0.0,0.0,4021,0.2363152587286655
46641,32088,26647,20339,36743,2017-11-07,2048,1536,17.8,12.2,10.2,7.8,14.0,3892,0.2193486516667726
93799,56439,45966,37684,61128,2017-11-17,2048,1536,35.8,21.5,17.5,14.4,23.3,3404,0.1881812629179512
186738,152048,141611,132804,161720,2017-11-27,2048,1536,71.2,58.0,54.0,50.7,61.7,1537,0.13329712861400406
260137,257846,255177,250584,259447,2017-12-07,2048,1536,99.2,98.4,97.3,95.6,99.0,677,0.2033238374229782
215923,168666,148260,130303,182336,2017-12-17,2048,1536,82.4,64.3,56.6,49.7,69.6,0,0.012544296585805187
38601,17572,12978,9469,20430,2017-12-27,2048,1536,14.7,6.7,5.0,3.6,7.8,2425,0.16482765256163032
96633,36719,19883,12809,43722,2018-01-06,2048,1536,36.9,14.0,7.6,4.9,16.7,1215,0.1655551129176009
113531,70359,59177,52863,77398,2018-01-26,2048,1536,43.3,26.8,22.6,20.2,29.5,3352,0.06912646580575617
99382,27832,11388,2468,31291,2018-02-15,2048,1536,37.9,10.6,4.3,0.9,11.9,2570,0.1607320014646215
13965,1665,294,117,931,2018-03-17,2048,1536,5.3,0.6,0.1,0.0,0.4,494,0.2423177432659241
241716,173873,135431,110875,187267,2018-04-16,2048,1536,92.2,66.3,51.7,42.3,71.4,0,0.4872342203308965
13277,6597,3703,1085,7217,2018-04-26,2048,1536,5.1,2.5,1.4,0.4,2.8,97,0.4793521614184318
151586,111380,90999,66583,119167,2018-05-06,2048,1536,57.8,42.5,34.7,25.4,45.5,3661,0.2343173011202541
25789,9046,5484,3805,10000,2018-05-26,2048,1536,9.8,3.5,2.1,1.5,3.8,4018,0.20612411180475398
9219,1169,121,3,838,2018-06-05,2048,1536,3.5,0.4,0.0,0.0,0.3,5112,0.1957119826367916
18180,6835,4045,1754,8351,2018-06-15,2048,1536,6.9,2.6,1.5,0.7,3.2,5067,0.1703642522529009
248143,234971,223157,206482,246223,2018-06-25,2048,1536,94.7,89.6,85.1,78.8,93.9,3086,0.08932615765190352
11808,4049,2582,1913,4370,2018-07-05,2048,1536,4.5,1.5,1.0,0.7,1.7,4951,0.1830044489885297
1758,245,18,0,200,2018-07-15,2048,1536,0.7,0.1,0.0,0.0,0.1,4908,0.1913845323166536
5426,813,22,3,519,2018-07-25,2048,1536,2.1,0.3,0.0,0.0,0.2,4411,0.18754735141297174
29663,16560,10986,6349,19509,2018-08-04,2048,1536,11.3,6.3,4.2,2.4,7.4,4525,0.1777034918511374
6160,2230,559,0,2644,2018-08-14,2048,1536,2.3,0.9,0.2,0.0,1.0,4808,0.21616113131472456
7756,2787,1198,395,3696,2018-08-24,2048,1536,3.0,1.1,0.5,0.2,1.4,3938,0.2442339597072032
2324,281,13,0,219,2018-09-03,2048,1536,0.9,0.1,0.0,0.0,0.1,2794,0.3476202169222114
34130,16279,12500,9551,18455,2018-09-13,2048,1536,13.0,6.2,4.8,3.6,7.0,1755,0.4155063974457337
262140,262047,261486,257268,262144,2018-10-03,2048,1536,100.0,100.0,99.7,98.1,100.0,1599,0.10071251668076164
16471,5339,3678,2447,6260,2018-10-23,2048,1536,6.3,2.0,1.4,0.9,2.4,1383,0.4054668385069409
27672,8754,3927,1779,10068,2018-11-02,2048,1536,10.6,3.3,1.5,0.7,3.8,1975,0.3743861790017552
55314,35121,30170,27315,37631,2018-11-12,2048,1536,21.1,13.4,11.5,10.4,14.4,3325,0.2812762971687438
83411,24536,16233,13116,25892,2018-11-22,2048,1536,31.8,9.4,6.2,5.0,9.9,4725,0.1558671653849583
99551,56273,46600,39068,64572,2018-12-02,2048,1536,38.0,21.5,17.8,14.9,24.6,5446,0.09665920604843922
224271,175230,147857,127420,190140,2019-01-01,2048,1536,85.6,66.8,56.4,48.6,72.5,1199,0.2130040003259872
84403,24161,14609,10336,25067,2019-01-21,2048,1536,32.2,9.2,5.6,3.9,9.6,773,0.4193594478086287
7594,3166,1247,56,3654,2019-02-20,2048,1536,2.9,1.2,0.5,0.0,1.4,302,0.3139760846124805
117742,70883,55877,44362,80165,2019-03-02,2048,1536,44.9,27.0,21.3,16.9,30.6,2656,0.17307960308328832
9206,3175,1504,112,3687,2019-03-12,2048,1536,3.5,1.2,0.6,0.0,1.4,2523,0.17486049021513922
211672,119997,87288,68749,134630,2019-04-11,2048,1536,80.7,45.8,33.3,26.2,51.4,179,0.3043531376788221
213533,167109,138720,106339,183377,2019-04-21,2048,1536,81.5,63.7,52.9,40.6,70.0,219,0.14972084761398258
202077,164807,142696,100043,175684,2019-05-01,2048,1536,77.1,62.9,54.4,38.2,67.0,184,0.2806055706492721
11187,4708,1667,24,5401,2019-05-11,2048,1536,4.3,1.8,0.6,0.0,2.1,1566,0.36380748524063106
168430,90371,70698,56708,98692,2019-05-21,2048,1536,64.3,34.5,27.0,21.6,37.6,928,0.1611534119120352
40834,15014,8978,5063,17479,2019-06-10,2048,1536,15.6,5.7,3.4,1.9,6.7,4236,0.23074948178698745
3396,264,49,3,208,2019-06-20,2048,1536,1.3,0.1,0.0,0.0,0.1,4351,0.2724188580153715
3388,280,33,4,56,2019-06-30,2048,1536,1.3,0.1,0.0,0.0,0.0,4538,0.2190580762293156
3483,990,135,1,996,2019-07-20,2048,1536,1.3,0.4,0.1,0.0,0.4,4636,0.18538075421088165
12401,2543,583,96,1690,2019-07-30,2048,1536,4.7,1.0,0.2,0.0,0.6,4941,0.16572605395875492
2718,696,33,1,756,2019-08-09,2048,1536,1.0,0.3,0.0,0.0,0.3,4736,0.18455768254369875
63785,46648,39962,32882,55340,2016-12-22,4608,4608,24.3,17.8,15.2,12.5,21.1,9005,0.4104033457375279
225758,203212,187655,170783,211923,2017-01-01,4608,4608,86.1,77.5,71.6,65.1,80.8,1616,0.18067828134752786
101911,75802,60684,41159,86243,2017-01-11,4608,4608,38.9,28.9,23.1,15.7,32.9,270,0.4635107486578862
25490,15780,10878,5711,19014,2017-02-10,4608,4608,9.7,6.0,4.1,2.2,7.3,0,0.6804047461506129
116623,68673,43313,27739,76055,2017-02-20,4608,4608,44.5,26.2,16.5,10.6,29.0,32,0.5224318197151137
56189,35964,29736,23606,39384,2017-03-02,4608,4608,21.4,13.7,11.3,9.0,15.0,491,0.6744203065634742
40111,32213,27075,21587,37434,2017-03-12,4608,4608,15.3,12.3,10.3,8.2,14.3,1045,0.6573701302724929
57,0,0,0,0,2017-04-01,4608,4608,0.0,0.0,0.0,0.0,0.0,3348,0.5695431423940265
47,0,0,0,0,2017-04-11,4608,4608,0.0,0.0,0.0,0.0,0.0,2874,0.5604390913826156
261786,254525,246040,230551,257732,2017-05-01,4608,4608,99.9,97.1,93.9,87.9,98.3,402,0.15714900681997826
