,tile,id,date,harvested,ndvi,cc_p80_perc,lat,lng
22,1536_1536,1,2017-01-01,347,0.3543339990589892,12.2,-20.054164336958948,148.12756494396905
23,1536_1536,1,2017-01-11,132,0.4350853886724669,7.7,-20.054164336958948,148.12756494396905
24,1536_1536,1,2017-02-10,6,0.4959217460516604,12.1,-20.054164336958948,148.12756494396905
25,1536_1536,1,2017-02-20,172,0.4648502824457182,28.9,-20.054164336958948,148.12756494396905
26,1536_1536,1,2017-03-02,95,0.09305928407479516,44.3,-20.054164336958948,148.12756494396905
27,1536_1536,1,2017-03-12,47,0.4780714556060223,1.5,-20.054164336958948,148.12756494396905
28,1536_1536,1,2017-04-01,240,0.4613940517358912,0.0,-20.054164336958948,148.12756494396905
29,1536_1536,1,2017-04-11,166,0.4464046903703308,0.1,-20.054164336958948,148.12756494396905
30,1536_1536,1,2017-05-01,215,0.14504499446330596,30.9,-20.054164336958948,148.12756494396905
31,1536_1536,1,2017-05-11,370,0.4446359160999803,0.0,-20.054164336958948,148.12756494396905
32,1536_1536,1,2017-05-21,253,0.4093768768854657,1.2,-20.054164336958948,148.12756494396905
33,1536_1536,1,2017-05-31,324,0.11346286523958607,99.1,-20.054164336958948,148.12756494396905
34,1536_1536,1,2017-06-20,290,0.45769528325625397,0.0,-20.054164336958948,148.12756494396905
35,1536_1536,1,2017-07-10,73,0.1042227522190296,20.2,-20.054164336958948,148.12756494396905
36,1536_1536,1,2017-07-20,0,,0.0,-20.054164336958948,148.12756494396905
37,1536_1536,1,2017-07-30,227,0.4113260172179014,4.7,-20.054164336958948,148.12756494396905
38,1536_1536,1,2017-08-09,838,0.3484841414114905,0.0,-20.054164336958948,148.12756494396905
39,1536_1536,1,2017-08-19,1363,0.26227385737685616,0.0,-20.054164336958948,148.12756494396905
40,1536_1536,1,2017-09-08,2017,0.13260754797172827,0.0,-20.054164336958948,148.12756494396905
41,1536_1536,1,2017-09-18,1964,0.16517216793660858,7.3,-20.054164336958948,148.12756494396905
42,1536_1536,1,2017-09-28,195,0.07013312488855983,37.7,-20.054164336958948,148.12756494396905
43,1536_1536,1,2017-10-08,716,0.08337847047326202,5.5,-20.054164336958948,148.12756494396905
44,1536_1536,1,2017-10-28,1675,0.1939759690936116,0.0,-20.054164336958948,148.12756494396905
45,1536_1536,1,2017-11-07,1445,0.20627199595241846,12.0,-20.054164336958948,148.12756494396905
46,1536_1536,1,2017-11-17,993,0.1216422434248282,45.6,-20.054164336958948,148.12756494396905
47,1536_1536,1,2017-11-27,1077,0.17413388747259895,39.8,-20.054164336958948,148.12756494396905
48,1536_1536,1,2017-12-07,210,0.25064613532100544,95.9,-20.054164336958948,148.12756494396905
49,1536_1536,1,2017-12-17,57,0.03026575683116981,66.5,-20.054164336958948,148.12756494396905
50,1536_1536,1,2017-12-27,1630,0.16481256998606394,15.0,-20.054164336958948,148.12756494396905
51,1536_1536,1,2018-01-06,332,0.17529128325355078,19.7,-20.054164336958948,148.12756494396905
52,1536_1536,1,2018-01-26,1355,0.13827768314637134,53.1,-20.054164336958948,148.12756494396905
53,1536_1536,1,2018-02-15,936,0.1986990600656453,13.3,-20.054164336958948,148.12756494396905
54,1536_1536,1,2018-03-17,175,0.2376461818285649,0.0,-20.054164336958948,148.12756494396905
55,1536_1536,1,2018-04-16,6,0.42524738180883503,46.8,-20.054164336958948,148.12756494396905
56,1536_1536,1,2018-04-26,94,0.4336221370241499,0.0,-20.054164336958948,148.12756494396905
57,1536_1536,1,2018-05-06,1476,0.2265104175568388,42.4,-20.054164336958948,148.12756494396905
58,1536_1536,1,2018-05-26,1275,0.21627966568749868,0.4,-20.054164336958948,148.12756494396905
59,1536_1536,1,2018-06-05,1878,0.19778266959387336,0.0,-20.054164336958948,148.12756494396905
60,1536_1536,1,2018-06-15,1772,0.18147133993717146,0.0,-20.054164336958948,148.12756494396905
61,1536_1536,1,2018-06-25,1157,0.0968149648975034,53.9,-20.054164336958948,148.12756494396905
62,1536_1536,1,2018-07-05,1273,0.2639047187150466,2.2,-20.054164336958948,148.12756494396905
63,1536_1536,1,2018-07-15,771,0.3241998823526985,0.0,-20.054164336958948,148.12756494396905
64,1536_1536,1,2018-07-25,576,0.3817434869824845,0.0,-20.054164336958948,148.12756494396905
65,1536_1536,1,2018-08-04,642,0.33038429931347857,2.4,-20.054164336958948,148.12756494396905
66,1536_1536,1,2018-08-14,740,0.4537442911391786,0.0,-20.054164336958948,148.12756494396905
67,1536_1536,1,2018-08-24,759,0.4667705414314957,0.0,-20.054164336958948,148.12756494396905
68,1536_1536,1,2018-09-03,758,0.4894782540196417,0.0,-20.054164336958948,148.12756494396905
69,1536_1536,1,2018-09-13,750,0.4307303770481316,18.2,-20.054164336958948,148.12756494396905
70,1536_1536,1,2018-10-03,56,0.058599748082998414,83.9,-20.054164336958948,148.12756494396905
71,1536_1536,1,2018-10-23,1712,0.17364142036639804,23.7,-20.054164336958948,148.12756494396905
72,1536_1536,1,2018-11-02,2260,0.1574710556880314,25.0,-20.054164336958948,148.12756494396905
73,1536_1536,1,2018-11-12,2322,0.13690099784850454,20.6,-20.054164336958948,148.12756494396905
74,1536_1536,1,2018-11-22,1998,0.08639432802982844,27.7,-20.054164336958948,148.12756494396905
75,1536_1536,1,2018-12-02,2406,0.1031847122745579,9.0,-20.054164336958948,148.12756494396905
76,1536_1536,1,2019-01-01,115,0.15382264936526496,51.4,-20.054164336958948,148.12756494396905
77,1536_1536,1,2019-01-21,224,0.6010638839468838,32.6,-20.054164336958948,148.12756494396905
78,1536_1536,1,2019-02-20,66,0.3894505169457804,0.0,-20.054164336958948,148.12756494396905
79,1536_1536,1,2019-03-02,1249,0.2306563523597389,11.5,-20.054164336958948,148.12756494396905
80,1536_1536,1,2019-03-12,909,0.2456355471029727,0.0,-20.054164336958948,148.12756494396905
81,1536_1536,1,2019-04-11,88,0.3781815431960103,22.8,-20.054164336958948,148.12756494396905
82,1536_1536,1,2019-04-21,68,0.2225458175423765,38.6,-20.054164336958948,148.12756494396905
83,1536_1536,1,2019-05-01,204,0.3987690999882009,3.5,-20.054164336958948,148.12756494396905
84,1536_1536,1,2019-05-11,444,0.3706528602787268,0.0,-20.054164336958948,148.12756494396905
85,1536_1536,1,2019-05-21,528,0.12608186878129388,36.7,-20.054164336958948,148.12756494396905
86,1536_1536,1,2019-06-10,2322,0.12575992442975645,3.2,-20.054164336958948,148.12756494396905
87,1536_1536,1,2019-06-20,2277,0.14749385579944713,0.0,-20.054164336958948,148.12756494396905
88,1536_1536,1,2019-06-30,2313,0.1410573431472195,0.0,-20.054164336958948,148.12756494396905
89,1536_1536,1,2019-07-20,2035,0.16757566062899262,0.0,-20.054164336958948,148.12756494396905
90,1536_1536,1,2019-07-30,1734,0.18932479678500624,0.1,-20.054164336958948,148.12756494396905
91,1536_1536,1,2019-08-09,1343,0.2674988636138382,0.0,-20.054164336958948,148.12756494396905
92,2048_1024,2,2016-12-22,365,0.2507554221973155,2.5,-20.007583315873724,148.1761601434644
93,2048_1024,2,2017-01-01,471,0.2514234426252437,3.5,-20.007583315873724,148.1761601434644
94,2048_1024,2,2017-01-11,112,0.3109780886504667,6.7,-20.007583315873724,148.1761601434644
95,2048_1024,2,2017-02-10,3,0.5276100369811304,0.2,-20.007583315873724,148.1761601434644
96,2048_1024,2,2017-02-20,35,0.3774656891674673,53.1,-20.007583315873724,148.1761601434644
97,2048_1024,2,2017-03-02,215,0.27603273894934266,0.6,-20.007583315873724,148.1761601434644
98,2048_1024,2,2017-03-12,182,0.36007628678243725,1.6,-20.007583315873724,148.1761601434644
99,2048_1024,2,2017-04-01,271,0.33525438147890185,0.0,-20.007583315873724,148.1761601434644
100,2048_1024,2,2017-04-11,210,0.3040966290561988,0.0,-20.007583315873724,148.1761601434644
101,2048_1024,2,2017-05-01,75,0.1340265957970757,95.5,-20.007583315873724,148.1761601434644
102,2048_1024,2,2017-05-11,445,0.27332379984396826,0.0,-20.007583315873724,148.1761601434644
103,2048_1024,2,2017-05-21,387,0.2663006757290985,0.0,-20.007583315873724,148.1761601434644
104,2048_1024,2,2017-05-31,66,0.1946605392033925,62.0,-20.007583315873724,148.1761601434644
105,2048_1024,2,2017-06-20,251,0.3112410615273403,0.0,-20.007583315873724,148.1761601434644
106,2048_1024,2,2017-07-10,68,0.14421588305617294,0.5,-20.007583315873724,148.1761601434644
107,2048_1024,2,2017-07-20,0,,0.0,-20.007583315873724,148.1761601434644
108,2048_1024,2,2017-07-30,488,0.22203561413873146,0.0,-20.007583315873724,148.1761601434644
109,2048_1024,2,2017-08-09,531,0.2341695448467115,0.0,-20.007583315873724,148.1761601434644
110,2048_1024,2,2017-08-19,488,0.2431335771824761,0.0,-20.007583315873724,148.1761601434644
111,2048_1024,2,2017-09-08,479,0.2803455264623581,0.1,-20.007583315873724,148.1761601434644
112,2048_1024,2,2017-09-18,397,0.2808264008566858,2.3,-20.007583315873724,148.1761601434644
113,2048_1024,2,2017-09-28,158,0.2657821755993914,29.4,-20.007583315873724,148.1761601434644
114,2048_1024,2,2017-10-08,149,0.3460535350348969,14.9,-20.007583315873724,148.1761601434644
115,2048_1024,2,2017-10-28,79,0.4268255461951115,0.0,-20.007583315873724,148.1761601434644
116,2048_1024,2,2017-11-07,22,0.2951098971879179,5.1,-20.007583315873724,148.1761601434644
117,2048_1024,2,2017-11-17,146,0.3420020343968377,38.8,-20.007583315873724,148.1761601434644
118,2048_1024,2,2017-11-27,222,0.12643055888755433,15.9,-20.007583315873724,148.1761601434644
119,2048_1024,2,2017-12-07,8,0.2924112792386694,58.0,-20.007583315873724,148.1761601434644
120,2048_1024,2,2017-12-17,0,0.016328745020670124,36.9,-20.007583315873724,148.1761601434644
121,2048_1024,2,2017-12-27,117,0.3932082175468929,5.2,-20.007583315873724,148.1761601434644
122,2048_1024,2,2018-01-06,54,0.2752624776473159,22.8,-20.007583315873724,148.1761601434644
123,2048_1024,2,2018-01-26,23,0.02252454757755392,8.4,-20.007583315873724,148.1761601434644
124,2048_1024,2,2018-02-15,50,0.3077356193727952,0.2,-20.007583315873724,148.1761601434644
125,2048_1024,2,2018-03-17,0,0.43379866288102586,0.4,-20.007583315873724,148.1761601434644
126,2048_1024,2,2018-04-16,0,0.5100862434162734,0.1,-20.007583315873724,148.1761601434644
127,2048_1024,2,2018-04-26,0,0.5722468841229701,0.0,-20.007583315873724,148.1761601434644
128,2048_1024,2,2018-05-06,3,0.487195295653645,0.8,-20.007583315873724,148.1761601434644
129,2048_1024,2,2018-05-26,134,0.4694052280497589,0.0,-20.007583315873724,148.1761601434644
130,2048_1024,2,2018-06-05,159,0.4597168934198406,0.0,-20.007583315873724,148.1761601434644
131,2048_1024,2,2018-06-15,153,0.4164991640189902,0.2,-20.007583315873724,148.1761601434644
132,2048_1024,2,2018-06-25,320,0.06751000736610505,96.5,-20.007583315873724,148.1761601434644
133,2048_1024,2,2018-07-05,143,0.4358171687691661,0.2,-20.007583315873724,148.1761601434644
134,2048_1024,2,2018-07-15,152,0.4391684650718742,0.0,-20.007583315873724,148.1761601434644
135,2048_1024,2,2018-07-25,153,0.3912587994617188,0.0,-20.007583315873724,148.1761601434644
136,2048_1024,2,2018-08-04,500,0.16438132978382047,0.4,-20.007583315873724,148.1761601434644
137,2048_1024,2,2018-08-14,775,0.20375414390357885,0.0,-20.007583315873724,148.1761601434644
138,2048_1024,2,2018-08-24,788,0.195882372239696,4.5,-20.007583315873724,148.1761601434644
139,2048_1024,2,2018-09-03,702,0.23287414627901346,0.0,-20.007583315873724,148.1761601434644
140,2048_1024,2,2018-09-13,668,0.24238190503010296,7.5,-20.007583315873724,148.1761601434644
141,2048_1024,2,2018-10-03,185,0.06494758396433067,91.7,-20.007583315873724,148.1761601434644
142,2048_1024,2,2018-10-23,728,0.16394262591488495,11.8,-20.007583315873724,148.1761601434644
143,2048_1024,2,2018-11-02,726,0.2020973545019266,0.0,-20.007583315873724,148.1761601434644
144,2048_1024,2,2018-11-12,829,0.14368545894835547,0.0,-20.007583315873724,148.1761601434644
145,2048_1024,2,2018-11-22,882,0.08863857241109553,0.1,-20.007583315873724,148.1761601434644
146,2048_1024,2,2018-12-02,577,0.0066197465300235035,5.6,-20.007583315873724,148.1761601434644
147,2048_1024,2,2019-01-01,241,0.17694436223150956,0.9,-20.007583315873724,148.1761601434644
148,2048_1024,2,2019-01-21,235,0.2037345641591833,16.2,-20.007583315873724,148.1761601434644
149,2048_1024,2,2019-02-20,29,0.2811355092654573,0.1,-20.007583315873724,148.1761601434644
150,2048_1024,2,2019-03-02,199,0.16974891948513546,28.7,-20.007583315873724,148.1761601434644
151,2048_1024,2,2019-03-12,198,0.20388740669441194,0.6,-20.007583315873724,148.1761601434644
152,2048_1024,2,2019-04-11,63,0.1933520973453792,19.0,-20.007583315873724,148.1761601434644
153,2048_1024,2,2019-04-21,23,0.08042682692158877,29.7,-20.007583315873724,148.1761601434644
154,2048_1024,2,2019-05-01,77,0.25236687625673804,0.8,-20.007583315873724,148.1761601434644
155,2048_1024,2,2019-05-11,397,0.24003748495200786,0.0,-20.007583315873724,148.1761601434644
156,2048_1024,2,2019-05-21,512,0.17200931287634336,5.0,-20.007583315873724,148.1761601434644
157,2048_1024,2,2019-06-10,791,0.09978643247235487,3.9,-20.007583315873724,148.1761601434644
158,2048_1024,2,2019-06-20,798,0.14124296769146447,0.0,-20.007583315873724,148.1761601434644
159,2048_1024,2,2019-06-30,825,0.13076635070621015,0.0,-20.007583315873724,148.1761601434644
160,2048_1024,2,2019-07-20,779,0.14163801624254127,0.0,-20.007583315873724,148.1761601434644
161,2048_1024,2,2019-07-30,806,0.12719611783794138,2.5,-20.007583315873724,148.1761601434644
162,2048_1024,2,2019-08-09,778,0.15102157012826165,0.0,-20.007583315873724,148.1761601434644
163,2048_1536,3,2016-12-22,1240,0.37069897663078455,0.1,-20.053841618980513,148.1765107157486
164,2048_1536,3,2017-01-01,1462,0.384904937219644,1.7,-20.053841618980513,148.1765107157486
165,2048_1536,3,2017-01-11,73,0.3963624009466068,7.7,-20.053841618980513,148.1765107157486
166,2048_1536,3,2017-02-10,42,0.646841435571458,22.7,-20.053841618980513,148.1765107157486
167,2048_1536,3,2017-02-20,240,0.2926543060807373,86.4,-20.053841618980513,148.1765107157486
168,2048_1536,3,2017-03-02,1082,0.4136639932184876,18.2,-20.053841618980513,148.1765107157486
169,2048_1536,3,2017-03-12,911,0.5041635431755256,0.8,-20.053841618980513,148.1765107157486
170,2048_1536,3,2017-04-01,824,0.4530126748844032,0.1,-20.053841618980513,148.1765107157486
171,2048_1536,3,2017-04-11,939,0.4242095205527679,0.0,-20.053841618980513,148.1765107157486
172,2048_1536,3,2017-05-01,412,0.101682261398736,74.5,-20.053841618980513,148.1765107157486
173,2048_1536,3,2017-05-11,1108,0.3864329124337312,0.0,-20.053841618980513,148.1765107157486
174,2048_1536,3,2017-05-21,864,0.3590136992567775,0.0,-20.053841618980513,148.1765107157486
175,2048_1536,3,2017-05-31,508,0.13211878701929866,90.4,-20.053841618980513,148.1765107157486
176,2048_1536,3,2017-06-20,565,0.42120018692317424,0.0,-20.053841618980513,148.1765107157486
177,2048_1536,3,2017-07-10,251,0.16622155865228566,6.8,-20.053841618980513,148.1765107157486
178,2048_1536,3,2017-07-20,0,,0.1,-20.053841618980513,148.1765107157486
179,2048_1536,3,2017-07-30,1173,0.39299085300517184,0.3,-20.053841618980513,148.1765107157486
180,2048_1536,3,2017-08-09,1249,0.3885772377685381,0.0,-20.053841618980513,148.1765107157486
181,2048_1536,3,2017-08-19,1744,0.3474785437205089,0.0,-20.053841618980513,148.1765107157486
182,2048_1536,3,2017-09-08,2644,0.280186708395025,0.0,-20.053841618980513,148.1765107157486
183,2048_1536,3,2017-09-18,2513,0.2758401112163757,1.2,-20.053841618980513,148.1765107157486
184,2048_1536,3,2017-09-28,2004,0.14218105190792935,28.7,-20.053841618980513,148.1765107157486
185,2048_1536,3,2017-10-08,2626,0.2221253497220277,0.4,-20.053841618980513,148.1765107157486
186,2048_1536,3,2017-10-28,4021,0.2363152587286655,0.0,-20.053841618980513,148.1765107157486
187,2048_1536,3,2017-11-07,3892,0.2193486516667726,7.8,-20.053841618980513,148.1765107157486
188,2048_1536,3,2017-11-17,3404,0.1881812629179512,14.4,-20.053841618980513,148.1765107157486
189,2048_1536,3,2017-11-27,1537,0.13329712861400406,50.7,-20.053841618980513,148.1765107157486
190,2048_1536,3,2017-12-07,677,0.2033238374229782,95.6,-20.053841618980513,148.1765107157486
191,2048_1536,3,2017-12-17,0,0.012544296585805187,49.7,-20.053841618980513,148.1765107157486
192,2048_1536,3,2017-12-27,2425,0.16482765256163032,3.6,-20.053841618980513,148.1765107157486
193,2048_1536,3,2018-01-06,1215,0.1655551129176009,4.9,-20.053841618980513,148.1765107157486
194,2048_1536,3,2018-01-26,3352,0.06912646580575617,20.2,-20.053841618980513,148.1765107157486
195,2048_1536,3,2018-02-15,2570,0.1607320014646215,0.9,-20.053841618980513,148.1765107157486
196,2048_1536,3,2018-03-17,494,0.2423177432659241,0.0,-20.053841618980513,148.1765107157486
197,2048_1536,3,2018-04-16,0,0.4872342203308965,42.3,-20.053841618980513,148.1765107157486
198,2048_1536,3,2018-04-26,97,0.4793521614184318,0.4,-20.053841618980513,148.1765107157486
199,2048_1536,3,2018-05-06,3661,0.2343173011202541,25.4,-20.053841618980513,148.1765107157486
200,2048_1536,3,2018-05-26,4018,0.206124111804754,1.5,-20.053841618980513,148.1765107157486
201,2048_1536,3,2018-06-05,5112,0.1957119826367916,0.0,-20.053841618980513,148.1765107157486
202,2048_1536,3,2018-06-15,5067,0.1703642522529009,0.7,-20.053841618980513,148.1765107157486
203,2048_1536,3,2018-06-25,3086,0.08932615765190352,78.8,-20.053841618980513,148.1765107157486
204,2048_1536,3,2018-07-05,4951,0.1830044489885297,0.7,-20.053841618980513,148.1765107157486
205,2048_1536,3,2018-07-15,4908,0.1913845323166536,0.0,-20.053841618980513,148.1765107157486
206,2048_1536,3,2018-07-25,4411,0.1875473514129717,0.0,-20.053841618980513,148.1765107157486
207,2048_1536,3,2018-08-04,4525,0.1777034918511374,2.4,-20.053841618980513,148.1765107157486
208,2048_1536,3,2018-08-14,4808,0.21616113131472456,0.0,-20.053841618980513,148.1765107157486
209,2048_1536,3,2018-08-24,3938,0.2442339597072032,0.2,-20.053841618980513,148.1765107157486
210,2048_1536,3,2018-09-03,2794,0.3476202169222114,0.0,-20.053841618980513,148.1765107157486
211,2048_1536,3,2018-09-13,1755,0.4155063974457337,3.6,-20.053841618980513,148.1765107157486
212,2048_1536,3,2018-10-03,1599,0.10071251668076164,98.1,-20.053841618980513,148.1765107157486
213,2048_1536,3,2018-10-23,1383,0.4054668385069409,0.9,-20.053841618980513,148.1765107157486
214,2048_1536,3,2018-11-02,1975,0.3743861790017552,0.7,-20.053841618980513,148.1765107157486
215,2048_1536,3,2018-11-12,3325,0.2812762971687438,10.4,-20.053841618980513,148.1765107157486
216,2048_1536,3,2018-11-22,4725,0.1558671653849583,5.0,-20.053841618980513,148.1765107157486
217,2048_1536,3,2018-12-02,5446,0.09665920604843922,14.9,-20.053841618980513,148.1765107157486
218,2048_1536,3,2019-01-01,1199,0.2130040003259872,48.6,-20.053841618980513,148.1765107157486
219,2048_1536,3,2019-01-21,773,0.4193594478086287,3.9,-20.053841618980513,148.1765107157486
220,2048_1536,3,2019-02-20,302,0.3139760846124805,0.0,-20.053841618980513,148.1765107157486
221,2048_1536,3,2019-03-02,2656,0.17307960308328832,16.9,-20.053841618980513,148.1765107157486
222,2048_1536,3,2019-03-12,2523,0.17486049021513922,0.0,-20.053841618980513,148.1765107157486
223,2048_1536,3,2019-04-11,179,0.3043531376788221,26.2,-20.053841618980513,148.1765107157486
224,2048_1536,3,2019-04-21,219,0.14972084761398258,40.6,-20.053841618980513,148.1765107157486
225,2048_1536,3,2019-05-01,184,0.2806055706492721,38.2,-20.053841618980513,148.1765107157486
226,2048_1536,3,2019-05-11,1566,0.3638074852406311,0.0,-20.053841618980513,148.1765107157486
227,2048_1536,3,2019-05-21,928,0.1611534119120352,21.6,-20.053841618980513,148.1765107157486
228,2048_1536,3,2019-06-10,4236,0.23074948178698745,1.9,-20.053841618980513,148.1765107157486
229,2048_1536,3,2019-06-20,4351,0.2724188580153715,0.0,-20.053841618980513,148.1765107157486
230,2048_1536,3,2019-06-30,4538,0.2190580762293156,0.0,-20.053841618980513,148.1765107157486
231,2048_1536,3,2019-07-20,4636,0.18538075421088165,0.0,-20.053841618980513,148.1765107157486
232,2048_1536,3,2019-07-30,4941,0.16572605395875492,0.0,-20.053841618980513,148.1765107157486
233,2048_1536,3,2019-08-09,4736,0.18455768254369875,0.0,-20.053841618980513,148.1765107157486
234,4608_4608,4,2016-12-22,9005,0.4104033457375279,12.5,-20.32957593096073,148.42377355620664
235,4608_4608,4,2017-01-01,1616,0.18067828134752786,65.1,-20.32957593096073,148.42377355620664
236,4608_4608,4,2017-01-11,270,0.4635107486578862,15.7,-20.32957593096073,148.42377355620664
237,4608_4608,4,2017-02-10,0,0.6804047461506129,2.2,-20.32957593096073,148.42377355620664
238,4608_4608,4,2017-02-20,32,0.5224318197151137,10.6,-20.32957593096073,148.42377355620664
239,4608_4608,4,2017-03-02,491,0.6744203065634742,9.0,-20.32957593096073,148.42377355620664
240,4608_4608,4,2017-03-12,1045,0.6573701302724929,8.2,-20.32957593096073,148.42377355620664
241,4608_4608,4,2017-04-01,3348,0.5695431423940265,0.0,-20.32957593096073,148.42377355620664
242,4608_4608,4,2017-04-11,2874,0.5604390913826156,0.0,-20.32957593096073,148.42377355620664
243,4608_4608,4,2017-05-01,402,0.15714900681997826,87.9,-20.32957593096073,148.42377355620664
244,4608_4608,4,2017-05-11,5022,0.5726776715935233,0.0,-20.32957593096073,148.42377355620664
245,4608_4608,4,2017-05-21,2172,0.3031022529437158,63.3,-20.32957593096073,148.42377355620664
246,4608_4608,4,2017-05-31,7927,0.3040016434151066,54.1,-20.32957593096073,148.42377355620664
247,4608_4608,4,2017-06-20,412,0.39326809077768415,32.2,-20.32957593096073,148.42377355620664
248,4608_4608,4,2017-07-10,4172,0.2794931461330188,40.2,-20.32957593096073,148.42377355620664
249,4608_4608,4,2017-07-20,9214,0.5024146169665924,0.0,-20.32957593096073,148.42377355620664
250,4608_4608,4,2017-07-30,13658,0.36394210108822095,27.9,-20.32957593096073,148.42377355620664
251,4608_4608,4,2017-08-09,15438,0.3872144058108374,0.0,-20.32957593096073,148.42377355620664
252,4608_4608,4,2017-08-19,22232,0.3162339936494865,0.0,-20.32957593096073,148.42377355620664
253,4608_4608,4,2017-09-08,27546,0.25639681430970784,0.1,-20.32957593096073,148.42377355620664
254,4608_4608,4,2017-09-18,19925,0.13805541043165714,37.3,-20.32957593096073,148.42377355620664
255,4608_4608,4,2017-09-28,17257,0.12019592327456455,17.8,-20.32957593096073,148.42377355620664
256,4608_4608,4,2017-10-08,28259,0.2314171257681656,8.0,-20.32957593096073,148.42377355620664
257,4608_4608,4,2017-10-28,14371,0.3578390195767848,0.0,-20.32957593096073,148.42377355620664
258,4608_4608,4,2017-11-07,13302,0.388617012557344,0.0,-20.32957593096073,148.42377355620664
259,4608_4608,4,2017-11-17,4084,0.2994872201086685,61.4,-20.32957593096073,148.42377355620664
260,4608_4608,4,2017-11-27,5323,0.3980493771746991,14.5,-20.32957593096073,148.42377355620664
261,4608_4608,4,2017-12-07,5189,0.5479048419230033,0.4,-20.32957593096073,148.42377355620664
262,4608_4608,4,2017-12-17,3910,0.5425611070269134,10.3,-20.32957593096073,148.42377355620664
263,4608_4608,4,2017-12-27,4520,0.4702645641696438,9.2,-20.32957593096073,148.42377355620664
264,4608_4608,4,2018-01-06,843,0.04621815063872803,84.1,-20.32957593096073,148.42377355620664
265,4608_4608,4,2018-01-26,790,0.16882983479497668,85.3,-20.32957593096073,148.42377355620664
266,4608_4608,4,2018-02-15,0,0.04039915253355367,97.3,-20.32957593096073,148.42377355620664
267,4608_4608,4,2018-03-17,771,0.6705744301911187,6.4,-20.32957593096073,148.42377355620664
268,4608_4608,4,2018-04-16,3081,0.36627111990605776,82.0,-20.32957593096073,148.42377355620664
269,4608_4608,4,2018-04-26,1126,0.6739948776382769,0.0,-20.32957593096073,148.42377355620664
270,4608_4608,4,2018-05-06,917,0.12018953652774153,89.6,-20.32957593096073,148.42377355620664
271,4608_4608,4,2018-05-26,4484,0.4596619153336108,10.0,-20.32957593096073,148.42377355620664
272,4608_4608,4,2018-06-05,6647,0.5643438936381969,0.0,-20.32957593096073,148.42377355620664
273,4608_4608,4,2018-06-15,6816,0.5111590513783711,0.1,-20.32957593096073,148.42377355620664
274,4608_4608,4,2018-06-25,5986,0.4401600394328301,0.0,-20.32957593096073,148.42377355620664
275,4608_4608,4,2018-07-05,7517,0.2558657365489271,37.5,-20.32957593096073,148.42377355620664
276,4608_4608,4,2018-07-15,15065,0.4287221716144264,0.0,-20.32957593096073,148.42377355620664
277,4608_4608,4,2018-07-25,17264,0.3710773672535794,0.0,-20.32957593096073,148.42377355620664
278,4608_4608,4,2018-08-04,21360,0.32238484941347195,0.0,-20.32957593096073,148.42377355620664
279,4608_4608,4,2018-08-14,21268,0.3304888120352665,0.0,-20.32957593096073,148.42377355620664
280,4608_4608,4,2018-08-24,25458,0.27209066169491103,0.1,-20.32957593096073,148.42377355620664
281,4608_4608,4,2018-09-03,25187,0.2862770472810091,0.0,-20.32957593096073,148.42377355620664
