harvested,date,x,y
166,2017-04-11,1536,1536
215,2017-05-01,1536,1536
370,2017-05-11,1536,1536
253,2017-05-21,1536,1536
324,2017-05-31,1536,1536
290,2017-06-20,1536,1536
73,2017-07-10,1536,1536
0,2017-07-20,1536,1536
227,2017-07-30,1536,1536
838,2017-08-09,1536,1536
1363,2017-08-19,1536,1536
2017,2017-09-08,1536,1536
1964,2017-09-18,1536,1536
195,2017-09-28,1536,1536
716,2017-10-08,1536,1536
1675,2017-10-28,1536,1536
1445,2017-11-07,1536,1536
993,2017-11-17,1536,1536
1077,2017-11-27,1536,1536
210,2017-12-07,1536,1536
57,2017-12-17,1536,1536
1630,2017-12-27,1536,1536
332,2018-01-06,1536,1536
1355,2018-01-26,1536,1536
936,2018-02-15,1536,1536
175,2018-03-17,1536,1536
6,2018-04-16,1536,1536
94,2018-04-26,1536,1536
1476,2018-05-06,1536,1536
1275,2018-05-26,1536,1536
1878,2018-06-05,1536,1536
1772,2018-06-15,1536,1536
1157,2018-06-25,1536,1536
1273,2018-07-05,1536,1536
771,2018-07-15,1536,1536
576,2018-07-25,1536,1536
642,2018-08-04,1536,1536
740,2018-08-14,1536,1536
759,2018-08-24,1536,1536
758,2018-09-03,1536,1536
750,2018-09-13,1536,1536
56,2018-10-03,1536,1536
1712,2018-10-23,1536,1536
2260,2018-11-02,1536,1536
2322,2018-11-12,1536,1536
1998,2018-11-22,1536,1536
2406,2018-12-02,1536,1536
115,2019-01-01,1536,1536
224,2019-01-21,1536,1536
66,2019-02-20,1536,1536
1249,2019-03-02,1536,1536
909,2019-03-12,1536,1536
88,2019-04-11,1536,1536
68,2019-04-21,1536,1536
204,2019-05-01,1536,1536
444,2019-05-11,1536,1536
528,2019-05-21,1536,1536
2322,2019-06-10,1536,1536
2277,2019-06-20,1536,1536
2313,2019-06-30,1536,1536
2035,2019-07-20,1536,1536
1734,2019-07-30,1536,1536
1343,2019-08-09,1536,1536
365,2016-12-22,2048,1024
471,2017-01-01,2048,1024
112,2017-01-11,2048,1024
3,2017-02-10,2048,1024
35,2017-02-20,2048,1024
215,2017-03-02,2048,1024
182,2017-03-12,2048,1024
271,2017-04-01,2048,1024
210,2017-04-11,2048,1024
75,2017-05-01,2048,1024
445,2017-05-11,2048,1024
387,2017-05-21,2048,1024
66,2017-05-31,2048,1024
251,2017-06-20,2048,1024
68,2017-07-10,2048,1024
0,2017-07-20,2048,1024
488,2017-07-30,2048,1024
531,2017-08-09,2048,1024
488,2017-08-19,2048,1024
479,2017-09-08,2048,1024
397,2017-09-18,2048,1024
158,2017-09-28,2048,1024
149,2017-10-08,2048,1024
79,2017-10-28,2048,1024
22,2017-11-07,2048,1024
146,2017-11-17,2048,1024
222,2017-11-27,2048,1024
8,2017-12-07,2048,1024
0,2017-12-17,2048,1024
117,2017-12-27,2048,1024
54,2018-01-06,2048,1024
23,2018-01-26,2048,1024
50,2018-02-15,2048,1024
0,2018-03-17,2048,1024
0,2018-04-16,2048,1024
0,2018-04-26,2048,1024
3,2018-05-06,2048,1024
134,2018-05-26,2048,1024
159,2018-06-05,2048,1024
153,2018-06-15,2048,1024
320,2018-06-25,2048,1024
143,2018-07-05,2048,1024
152,2018-07-15,2048,1024
153,2018-07-25,2048,1024
500,2018-08-04,2048,1024
775,2018-08-14,2048,1024
788,2018-08-24,2048,1024
702,2018-09-03,2048,1024
668,2018-09-13,2048,1024
185,2018-10-03,2048,1024
728,2018-10-23,2048,1024
726,2018-11-02,2048,1024
829,2018-11-12,2048,1024
882,2018-11-22,2048,1024
577,2018-12-02,2048,1024
241,2019-01-01,2048,1024
235,2019-01-21,2048,1024
29,2019-02-20,2048,1024
199,2019-03-02,2048,1024
198,2019-03-12,2048,1024
63,2019-04-11,2048,1024
23,2019-04-21,2048,1024
77,2019-05-01,2048,1024
397,2019-05-11,2048,1024
512,2019-05-21,2048,1024
791,2019-06-10,2048,1024
798,2019-06-20,2048,1024
825,2019-06-30,2048,1024
779,2019-07-20,2048,1024
806,2019-07-30,2048,1024
778,2019-08-09,2048,1024
1240,2016-12-22,2048,1536
1462,2017-01-01,2048,1536
73,2017-01-11,2048,1536
42,2017-02-10,2048,1536
240,2017-02-20,2048,1536
1082,2017-03-02,2048,1536
911,2017-03-12,2048,1536
824,2017-04-01,2048,1536
939,2017-04-11,2048,1536
412,2017-05-01,2048,1536
1108,2017-05-11,2048,1536
864,2017-05-21,2048,1536
508,2017-05-31,2048,1536
565,2017-06-20,2048,1536
251,2017-07-10,2048,1536
0,2017-07-20,2048,1536
1173,2017-07-30,2048,1536
1249,2017-08-09,2048,1536
1744,2017-08-19,2048,1536
2644,2017-09-08,2048,1536
2513,2017-09-18,2048,1536
2004,2017-09-28,2048,1536
2626,2017-10-08,2048,1536
4021,2017-10-28,2048,1536
3892,2017-11-07,2048,1536
3404,2017-11-17,2048,1536
1537,2017-11-27,2048,1536
677,2017-12-07,2048,1536
0,2017-12-17,2048,1536
2425,2017-12-27,2048,1536
1215,2018-01-06,2048,1536
3352,2018-01-26,2048,1536
2570,2018-02-15,2048,1536
494,2018-03-17,2048,1536
0,2018-04-16,2048,1536
97,2018-04-26,2048,1536
3661,2018-05-06,2048,1536
4018,2018-05-26,2048,1536
5112,2018-06-05,2048,1536
5067,2018-06-15,2048,1536
3086,2018-06-25,2048,1536
4951,2018-07-05,2048,1536
4908,2018-07-15,2048,1536
4411,2018-07-25,2048,1536
4525,2018-08-04,2048,1536
4808,2018-08-14,2048,1536
3938,2018-08-24,2048,1536
2794,2018-09-03,2048,1536
1755,2018-09-13,2048,1536
1599,2018-10-03,2048,1536
1383,2018-10-23,2048,1536
1975,2018-11-02,2048,1536
3325,2018-11-12,2048,1536
4725,2018-11-22,2048,1536
5446,2018-12-02,2048,1536
1199,2019-01-01,2048,1536
773,2019-01-21,2048,1536
302,2019-02-20,2048,1536
2656,2019-03-02,2048,1536
2523,2019-03-12,2048,1536
179,2019-04-11,2048,1536
219,2019-04-21,2048,1536
184,2019-05-01,2048,1536
1566,2019-05-11,2048,1536
928,2019-05-21,2048,1536
4236,2019-06-10,2048,1536
4351,2019-06-20,2048,1536
4538,2019-06-30,2048,1536
4636,2019-07-20,2048,1536
4941,2019-07-30,2048,1536
4736,2019-08-09,2048,1536
9005,2016-12-22,4608,4608
1616,2017-01-01,4608,4608
270,2017-01-11,4608,4608
0,2017-02-10,4608,4608
32,2017-02-20,4608,4608
491,2017-03-02,4608,4608
1045,2017-03-12,4608,4608
3348,2017-04-01,4608,4608
2874,2017-04-11,4608,4608
402,2017-05-01,4608,4608
5022,2017-05-11,4608,4608
2172,2017-05-21,4608,4608
7927,2017-05-31,4608,4608
412,2017-06-20,4608,4608
4172,2017-07-10,4608,4608
9214,2017-07-20,4608,4608
13658,2017-07-30,4608,4608
15438,2017-08-09,4608,4608
22232,2017-08-19,4608,4608
27546,2017-09-08,4608,4608
19925,2017-09-18,4608,4608
17257,2017-09-28,4608,4608
28259,2017-10-08,4608,4608
14371,2017-10-28,4608,4608
13302,2017-11-07,4608,4608
4084,2017-11-17,4608,4608
5323,2017-11-27,4608,4608
5189,2017-12-07,4608,4608
3910,2017-12-17,4608,4608
4520,2017-12-27,4608,4608
843,2018-01-06,4608,4608
790,2018-01-26,4608,4608
0,2018-02-15,4608,4608
771,2018-03-17,4608,4608
3081,2018-04-16,4608,4608
1126,2018-04-26,4608,4608
917,2018-05-06,4608,4608
4484,2018-05-26,4608,4608
6647,2018-06-05,4608,4608
6816,2018-06-15,4608,4608
5986,2018-06-25,4608,4608
7517,2018-07-05,4608,4608
15065,2018-07-15,4608,4608
17264,2018-07-25,4608,4608
21360,2018-08-04,4608,4608
21268,2018-08-14,4608,4608
25458,2018-08-24,4608,4608
25187,2018-09-03,4608,4608
20271,2018-09-13,4608,4608
29223,2018-10-03,4608,4608
26344,2018-10-23,4608,4608
14489,2018-11-02,4608,4608
9389,2018-11-12,4608,4608
8005,2018-11-22,4608,4608
6862,2018-12-02,4608,4608
100,2019-01-01,4608,4608
2400,2019-01-21,4608,4608
2480,2019-02-20,4608,4608
1479,2019-03-02,4608,4608
2663,2019-03-12,4608,4608
2416,2019-04-11,4608,4608
46,2019-04-21,4608,4608
1317,2019-05-01,4608,4608
1104,2019-05-11,4608,4608
583,2019-05-21,4608,4608
1180,2019-06-10,4608,4608
730,2019-06-20,4608,4608
8757,2019-06-30,4608,4608
16936,2019-07-20,4608,4608
20122,2019-07-30,4608,4608
22762,2019-08-09,4608,4608
6573,2016-12-22,4608,5120
6636,2017-01-01,4608,5120
6147,2017-01-11,4608,5120
95,2017-02-10,4608,5120
495,2017-02-20,4608,5120
2974,2017-03-02,4608,5120
2900,2017-03-12,4608,5120
2709,2017-04-01,4608,5120
2047,2017-04-11,4608,5120
593,2017-05-01,4608,5120
6620,2017-05-11,4608,5120
4602,2017-05-21,4608,5120
9171,2017-05-31,4608,5120
4293,2017-06-20,4608,5120
8769,2017-07-10,4608,5120
17129,2017-07-20,4608,5120
26343,2017-07-30,4608,5120
34771,2017-08-09,4608,5120
45682,2017-08-19,4608,5120
55192,2017-09-08,4608,5120
42325,2017-09-18,4608,5120
49255,2017-09-28,4608,5120
54693,2017-10-08,4608,5120
25943,2017-10-28,4608,5120
13962,2017-11-07,4608,5120
1379,2017-11-17,4608,5120
3602,2017-11-27,4608,5120
2834,2017-12-07,4608,5120
1600,2017-12-17,4608,5120
3275,2017-12-27,4608,5120
3665,2018-01-06,4608,5120
1706,2018-01-26,4608,5120
7804,2018-02-15,4608,5120
280,2018-03-17,4608,5120
3657,2018-04-16,4608,5120
982,2018-04-26,4608,5120
2399,2018-05-06,4608,5120
5513,2018-05-26,4608,5120
12725,2018-06-05,4608,5120
14917,2018-06-15,4608,5120
19397,2018-06-25,4608,5120
22940,2018-07-05,4608,5120
29802,2018-07-15,4608,5120
43460,2018-07-25,4608,5120
48107,2018-08-04,4608,5120
54876,2018-08-14,4608,5120
56456,2018-08-24,4608,5120
60469,2018-09-03,4608,5120
54371,2018-09-13,4608,5120
58083,2018-10-03,4608,5120
34413,2018-10-23,4608,5120
25083,2018-11-02,4608,5120
28783,2018-11-12,4608,5120
17760,2018-11-22,4608,5120
27436,2018-12-02,4608,5120
501,2019-01-01,4608,5120
1411,2019-01-21,4608,5120
1230,2019-02-20,4608,5120
865,2019-03-02,4608,5120
1210,2019-03-12,4608,5120
1070,2019-04-11,4608,5120
2,2019-04-21,4608,5120
1703,2019-05-01,4608,5120
3090,2019-05-11,4608,5120
856,2019-05-21,4608,5120
2249,2019-06-10,4608,5120
8861,2019-06-20,4608,5120
12246,2019-06-30,4608,5120
26037,2019-07-20,4608,5120
21851,2019-07-30,4608,5120
31480,2019-08-09,4608,5120
5758,2016-12-22,4608,5632
4175,2017-01-01,4608,5632
999,2017-01-11,4608,5632
640,2017-02-10,4608,5632
2206,2017-02-20,4608,5632
1643,2017-03-02,4608,5632
1465,2017-03-12,4608,5632
1627,2017-04-01,4608,5632
1170,2017-04-11,4608,5632
333,2017-05-01,4608,5632
4205,2017-05-11,4608,5632
3206,2017-05-21,4608,5632
2375,2017-05-31,4608,5632
3019,2017-06-20,4608,5632
1999,2017-07-10,4608,5632
8408,2017-07-20,4608,5632
8327,2017-07-30,4608,5632
14844,2017-08-09,4608,5632
15799,2017-08-19,4608,5632
19600,2017-09-08,4608,5632
19694,2017-09-18,4608,5632
23953,2017-09-28,4608,5632
20223,2017-10-08,4608,5632
13494,2017-10-28,4608,5632
8053,2017-11-07,4608,5632
2103,2017-11-17,4608,5632
3042,2017-11-27,4608,5632
3302,2017-12-07,4608,5632
2563,2017-12-17,4608,5632
2837,2017-12-27,4608,5632
3815,2018-01-06,4608,5632
2702,2018-01-26,4608,5632
2053,2018-02-15,4608,5632
1319,2018-03-17,4608,5632
359,2018-04-16,4608,5632
3358,2018-04-26,4608,5632
2166,2018-05-06,4608,5632
2347,2018-05-26,4608,5632
6286,2018-06-05,4608,5632
6945,2018-06-15,4608,5632
6198,2018-06-25,4608,5632
9826,2018-07-05,4608,5632
13448,2018-07-15,4608,5632
15330,2018-07-25,4608,5632
17342,2018-08-04,4608,5632
21254,2018-08-14,4608,5632
26553,2018-08-24,4608,5632
27511,2018-09-03,4608,5632
22685,2018-09-13,4608,5632
25938,2018-10-03,4608,5632
18563,2018-10-23,4608,5632
14381,2018-11-02,4608,5632
12727,2018-11-12,4608,5632
5303,2018-11-22,4608,5632
13951,2018-12-02,4608,5632
512,2019-01-01,4608,5632
125,2019-01-21,4608,5632
751,2019-02-20,4608,5632
875,2019-03-02,4608,5632
1232,2019-03-12,4608,5632
464,2019-04-11,4608,5632
1,2019-04-21,4608,5632
186,2019-05-01,4608,5632
867,2019-05-11,4608,5632
1162,2019-05-21,4608,5632
1546,2019-06-10,4608,5632
3425,2019-06-20,4608,5632
5322,2019-06-30,4608,5632
9274,2019-07-20,4608,5632
7686,2019-07-30,4608,5632
10643,2019-08-09,4608,5632
408,2016-12-22,4608,6144
261,2017-01-01,4608,6144
164,2017-01-11,4608,6144
17,2017-02-10,4608,6144
0,2017-02-20,4608,6144
0,2017-03-02,4608,6144
262,2017-03-12,4608,6144
336,2017-04-01,4608,6144
298,2017-04-11,4608,6144
27,2017-05-01,4608,6144
357,2017-05-11,4608,6144
354,2017-05-21,4608,6144
118,2017-05-31,4608,6144
352,2017-06-20,4608,6144
66,2017-07-10,4608,6144
359,2017-07-20,4608,6144
6,2017-07-30,4608,6144
1035,2017-08-09,4608,6144
1019,2017-08-19,4608,6144
908,2017-09-08,4608,6144
776,2017-09-18,4608,6144
833,2017-09-28,4608,6144
320,2017-10-08,4608,6144
2,2017-10-28,4608,6144
0,2017-11-07,4608,6144
0,2017-11-17,4608,6144
0,2017-11-27,4608,6144
0,2017-12-07,4608,6144
0,2017-12-17,4608,6144
0,2017-12-27,4608,6144
6,2018-01-06,4608,6144
11,2018-01-26,4608,6144
0,2018-02-15,4608,6144
0,2018-03-17,4608,6144
32,2018-04-16,4608,6144
0,2018-04-26,4608,6144
0,2018-05-06,4608,6144
46,2018-05-26,4608,6144
0,2018-06-05,4608,6144
0,2018-06-15,4608,6144
55,2018-06-25,4608,6144
325,2018-07-05,4608,6144
500,2018-07-15,4608,6144
1025,2018-07-25,4608,6144
1035,2018-08-04,4608,6144
1043,2018-08-14,4608,6144
1036,2018-08-24,4608,6144
1026,2018-09-03,4608,6144
1039,2018-09-13,4608,6144
987,2018-10-03,4608,6144
437,2018-10-23,4608,6144
238,2018-11-02,4608,6144
100,2018-11-12,4608,6144
83,2018-11-22,4608,6144
20,2018-12-02,4608,6144
9,2019-01-01,4608,6144
0,2019-01-21,4608,6144
0,2019-02-20,4608,6144
24,2019-03-02,4608,6144
0,2019-03-12,4608,6144
0,2019-04-11,4608,6144
0,2019-04-21,4608,6144
0,2019-05-01,4608,6144
0,2019-05-11,4608,6144
0,2019-05-21,4608,6144
88,2019-06-10,4608,6144
0,2019-06-20,4608,6144
0,2019-06-30,4608,6144
0,2019-07-20,4608,6144
0,2019-07-30,4608,6144
0,2019-08-09,4608,6144
5525,2016-12-22,5120,3584
2889,2017-01-01,5120,3584
644,2017-01-11,5120,3584
33,2017-02-10,5120,3584
259,2017-02-20,5120,3584
1287,2017-03-02,5120,3584
3318,2017-03-12,5120,3584
3098,2017-04-01,5120,3584
2980,2017-04-11,5120,3584
1839,2017-05-01,5120,3584
3987,2017-05-11,5120,3584
1215,2017-05-21,5120,3584
6447,2017-05-31,5120,3584
4771,2017-06-20,5120,3584
4381,2017-07-10,5120,3584
7047,2017-07-20,5120,3584
1794,2017-07-30,5120,3584
9103,2017-08-09,5120,3584
13724,2017-08-19,5120,3584
14660,2017-09-08,5120,3584
18437,2017-09-18,5120,3584
17216,2017-09-28,5120,3584
18413,2017-10-08,5120,3584
10629,2017-10-28,5120,3584
6791,2017-11-07,5120,3584
531,2017-11-17,5120,3584
4276,2017-11-27,5120,3584
1184,2017-12-07,5120,3584
1978,2017-12-17,5120,3584
3234,2017-12-27,5120,3584
1262,2018-01-06,5120,3584
47,2018-01-26,5120,3584
2090,2018-02-15,5120,3584
508,2018-03-17,5120,3584
51,2018-04-16,5120,3584
557,2018-04-26,5120,3584
3490,2018-05-06,5120,3584
5112,2018-05-26,5120,3584
6437,2018-06-05,5120,3584
7170,2018-06-15,5120,3584
10610,2018-06-25,5120,3584
7723,2018-07-05,5120,3584
11448,2018-07-15,5120,3584
9444,2018-07-25,5120,3584
10436,2018-08-04,5120,3584
10584,2018-08-14,5120,3584
14427,2018-08-24,5120,3584
16817,2018-09-03,5120,3584
12528,2018-09-13,5120,3584
6345,2018-10-03,5120,3584
14080,2018-10-23,5120,3584
5133,2018-11-02,5120,3584
7831,2018-11-12,5120,3584
9487,2018-11-22,5120,3584
6707,2018-12-02,5120,3584
415,2019-01-01,5120,3584
632,2019-01-21,5120,3584
1516,2019-02-20,5120,3584
1778,2019-03-02,5120,3584
518,2019-03-12,5120,3584
941,2019-04-11,5120,3584
403,2019-04-21,5120,3584
1574,2019-05-01,5120,3584
2530,2019-05-11,5120,3584
1610,2019-05-21,5120,3584
4083,2019-06-10,5120,3584
5216,2019-06-20,5120,3584
7526,2019-06-30,5120,3584
8556,2019-07-20,5120,3584
8366,2019-07-30,5120,3584
8987,2019-08-09,5120,3584
11786,2016-12-22,5120,4096
4540,2017-01-01,5120,4096
3572,2017-01-11,5120,4096
2767,2017-02-10,5120,4096
6916,2017-02-20,5120,4096
2701,2017-03-02,5120,4096
5016,2017-03-12,5120,4096
7417,2017-04-01,5120,4096
5567,2017-04-11,5120,4096
2959,2017-05-01,5120,4096
5529,2017-05-11,5120,4096
4259,2017-05-21,5120,4096
18215,2017-05-31,5120,4096
7937,2017-06-20,5120,4096
5181,2017-07-10,5120,4096
9737,2017-07-20,5120,4096
7885,2017-07-30,5120,4096
25384,2017-08-09,5120,4096
32345,2017-08-19,5120,4096
49989,2017-09-08,5120,4096
32713,2017-09-18,5120,4096
58220,2017-09-28,5120,4096
51499,2017-10-08,5120,4096
28787,2017-10-28,5120,4096
18414,2017-11-07,5120,4096
8894,2017-11-17,5120,4096
5745,2017-11-27,5120,4096
3833,2017-12-07,5120,4096
2257,2017-12-17,5120,4096
4017,2017-12-27,5120,4096
1197,2018-01-06,5120,4096
301,2018-01-26,5120,4096
4441,2018-02-15,5120,4096
748,2018-03-17,5120,4096
429,2018-04-16,5120,4096
3852,2018-04-26,5120,4096
1148,2018-05-06,5120,4096
6995,2018-05-26,5120,4096
9978,2018-06-05,5120,4096
10963,2018-06-15,5120,4096
21421,2018-06-25,5120,4096
19185,2018-07-05,5120,4096
23561,2018-07-15,5120,4096
33820,2018-07-25,5120,4096
44173,2018-08-04,5120,4096
51454,2018-08-14,5120,4096
62320,2018-08-24,5120,4096
63445,2018-09-03,5120,4096
43186,2018-09-13,5120,4096
783,2018-10-03,5120,4096
24120,2018-10-23,5120,4096
24812,2018-11-02,5120,4096
24264,2018-11-12,5120,4096
21766,2018-11-22,5120,4096
17332,2018-12-02,5120,4096
2510,2019-01-01,5120,4096
2000,2019-01-21,5120,4096
2374,2019-02-20,5120,4096
2408,2019-03-02,5120,4096
2675,2019-03-12,5120,4096
4264,2019-04-11,5120,4096
3604,2019-04-21,5120,4096
1117,2019-05-01,5120,4096
7665,2019-05-11,5120,4096
1595,2019-05-21,5120,4096
2746,2019-06-10,5120,4096
9332,2019-06-20,5120,4096
10157,2019-06-30,5120,4096
9091,2019-07-20,5120,4096
10915,2019-07-30,5120,4096
13709,2019-08-09,5120,4096
22029,2016-12-22,5120,4608
12672,2017-01-01,5120,4608
8722,2017-01-11,5120,4608
3277,2017-02-10,5120,4608
8500,2017-02-20,5120,4608
13907,2017-03-02,5120,4608
16692,2017-03-12,5120,4608
17045,2017-04-01,5120,4608
10858,2017-04-11,5120,4608
3627,2017-05-01,5120,4608
22170,2017-05-11,5120,4608
8030,2017-05-21,5120,4608
29149,2017-05-31,5120,4608
16045,2017-06-20,5120,4608
5087,2017-07-10,5120,4608
51192,2017-07-20,5120,4608
40084,2017-07-30,5120,4608
78801,2017-08-09,5120,4608
88891,2017-08-19,5120,4608
108272,2017-09-08,5120,4608
88164,2017-09-18,5120,4608
92141,2017-09-28,5120,4608
98814,2017-10-08,5120,4608
59486,2017-10-28,5120,4608
49581,2017-11-07,5120,4608
16496,2017-11-17,5120,4608
15619,2017-11-27,5120,4608
10190,2017-12-07,5120,4608
7201,2017-12-17,5120,4608
14003,2017-12-27,5120,4608
3944,2018-01-06,5120,4608
2514,2018-01-26,5120,4608
3742,2018-02-15,5120,4608
1871,2018-03-17,5120,4608
5666,2018-04-16,5120,4608
13266,2018-04-26,5120,4608
13345,2018-05-06,5120,4608
18183,2018-05-26,5120,4608
25794,2018-06-05,5120,4608
25342,2018-06-15,5120,4608
29463,2018-06-25,5120,4608
37273,2018-07-05,5120,4608
74008,2018-07-15,5120,4608
73550,2018-07-25,5120,4608
86127,2018-08-04,5120,4608
109215,2018-08-14,5120,4608
114511,2018-08-24,5120,4608
132202,2018-09-03,5120,4608
97100,2018-09-13,5120,4608
99526,2018-10-03,5120,4608
48475,2018-10-23,5120,4608
53032,2018-11-02,5120,4608
37944,2018-11-12,5120,4608
31348,2018-11-22,5120,4608
27044,2018-12-02,5120,4608
1611,2019-01-01,5120,4608
3655,2019-01-21,5120,4608
3111,2019-02-20,5120,4608
3648,2019-03-02,5120,4608
3830,2019-03-12,5120,4608
6688,2019-04-11,5120,4608
2480,2019-04-21,5120,4608
715,2019-05-01,5120,4608
3438,2019-05-11,5120,4608
1300,2019-05-21,5120,4608
6101,2019-06-10,5120,4608
16818,2019-06-20,5120,4608
21494,2019-06-30,5120,4608
28356,2019-07-20,5120,4608
39436,2019-07-30,5120,4608
61357,2019-08-09,5120,4608
7018,2016-12-22,5120,5120
2961,2017-01-01,5120,5120
3638,2017-01-11,5120,5120
3189,2017-02-10,5120,5120
663,2017-02-20,5120,5120
5470,2017-03-02,5120,5120
6085,2017-03-12,5120,5120
5748,2017-04-01,5120,5120
4399,2017-04-11,5120,5120
2785,2017-05-01,5120,5120
9566,2017-05-11,5120,5120
3621,2017-05-21,5120,5120
5407,2017-05-31,5120,5120
5257,2017-06-20,5120,5120
2446,2017-07-10,5120,5120
16350,2017-07-20,5120,5120
14539,2017-07-30,5120,5120
23489,2017-08-09,5120,5120
30169,2017-08-19,5120,5120
38225,2017-09-08,5120,5120
29187,2017-09-18,5120,5120
40380,2017-09-28,5120,5120
38781,2017-10-08,5120,5120
32010,2017-10-28,5120,5120
22628,2017-11-07,5120,5120
2126,2017-11-17,5120,5120
8791,2017-11-27,5120,5120
3477,2017-12-07,5120,5120
5961,2017-12-17,5120,5120
4492,2017-12-27,5120,5120
1941,2018-01-06,5120,5120
3799,2018-01-26,5120,5120
1864,2018-02-15,5120,5120
1530,2018-03-17,5120,5120
2364,2018-04-16,5120,5120
6855,2018-04-26,5120,5120
4534,2018-05-06,5120,5120
1101,2018-05-26,5120,5120
9831,2018-06-05,5120,5120
8391,2018-06-15,5120,5120
8825,2018-06-25,5120,5120
16209,2018-07-05,5120,5120
25641,2018-07-15,5120,5120
30448,2018-07-25,5120,5120
31995,2018-08-04,5120,5120
36471,2018-08-14,5120,5120
44520,2018-08-24,5120,5120
45967,2018-09-03,5120,5120
41529,2018-09-13,5120,5120
46153,2018-10-03,5120,5120
20702,2018-10-23,5120,5120
20928,2018-11-02,5120,5120
13432,2018-11-12,5120,5120
11696,2018-11-22,5120,5120
11285,2018-12-02,5120,5120
871,2019-01-01,5120,5120
1092,2019-01-21,5120,5120
767,2019-02-20,5120,5120
3439,2019-03-02,5120,5120
4635,2019-03-12,5120,5120
3565,2019-04-11,5120,5120
605,2019-04-21,5120,5120
967,2019-05-01,5120,5120
3370,2019-05-11,5120,5120
1906,2019-05-21,5120,5120
5916,2019-06-10,5120,5120
7547,2019-06-20,5120,5120
8312,2019-06-30,5120,5120
17973,2019-07-20,5120,5120
17020,2019-07-30,5120,5120
27596,2019-08-09,5120,5120
24936,2016-12-22,5120,5632
16206,2017-01-01,5120,5632
7318,2017-01-11,5120,5632
2061,2017-02-10,5120,5632
4515,2017-02-20,5120,5632
4896,2017-03-02,5120,5632
6791,2017-03-12,5120,5632
9572,2017-04-01,5120,5632
6357,2017-04-11,5120,5632
802,2017-05-01,5120,5632
18877,2017-05-11,5120,5632
7500,2017-05-21,5120,5632
10274,2017-05-31,5120,5632
3177,2017-06-20,5120,5632
3577,2017-07-10,5120,5632
42982,2017-07-20,5120,5632
44535,2017-07-30,5120,5632
61704,2017-08-09,5120,5632
69744,2017-08-19,5120,5632
91395,2017-09-08,5120,5632
60950,2017-09-18,5120,5632
101156,2017-09-28,5120,5632
84445,2017-10-08,5120,5632
63287,2017-10-28,5120,5632
45623,2017-11-07,5120,5632
10225,2017-11-17,5120,5632
10933,2017-11-27,5120,5632
9721,2017-12-07,5120,5632
6832,2017-12-17,5120,5632
11035,2017-12-27,5120,5632
16180,2018-01-06,5120,5632
8972,2018-01-26,5120,5632
5405,2018-02-15,5120,5632
6131,2018-03-17,5120,5632
3434,2018-04-16,5120,5632
6939,2018-04-26,5120,5632
14574,2018-05-06,5120,5632
8154,2018-05-26,5120,5632
30683,2018-06-05,5120,5632
