cc_p20,cc_p40,cc_p60,cc_p80,cc_default,date,x,y,cc_p20_perc,cc_p40_perc,cc_p60_perc,cc_p80_perc,cc_default_perc
1118,29,5,1,,2018-09-03,1536,1536,0.4,0.0,0.0,0.0,
86892,63885,56356,47609,,2018-09-13,1536,1536,33.1,24.4,21.5,18.2,
259336,251246,239433,220042,,2018-10-03,1536,1536,98.9,95.8,91.3,83.9,
117708,81525,71411,62197,,2018-10-23,1536,1536,44.9,31.1,27.2,23.7,
136488,95508,79607,65440,,2018-11-02,1536,1536,52.1,36.4,30.4,25.0,
93831,68164,59965,53940,,2018-11-12,1536,1536,35.8,26.0,22.9,20.6,
223901,135381,97783,72599,,2018-11-22,1536,1536,85.4,51.6,37.3,27.7,
71053,35906,28994,23515,,2018-12-02,1536,1536,27.1,13.7,11.1,9.0,
214491,169394,151519,134668,,2019-01-01,1536,1536,81.8,64.6,57.8,51.4,
166736,106531,93784,85533,,2019-01-21,1536,1536,63.6,40.6,35.8,32.6,
4176,1235,379,41,,2019-02-20,1536,1536,1.6,0.5,0.1,0.0,
89774,54794,42036,30094,,2019-03-02,1536,1536,34.2,20.9,16.0,11.5,
4847,987,219,1,,2019-03-12,1536,1536,1.8,0.4,0.1,0.0,
199638,90287,69890,59850,,2019-04-11,1536,1536,76.2,34.4,26.7,22.8,
179366,138717,120779,101122,,2019-04-21,1536,1536,68.4,52.9,46.1,38.6,
50145,27690,19092,9252,,2019-05-01,1536,1536,19.1,10.6,7.3,3.5,
4355,835,124,4,,2019-05-11,1536,1536,1.7,0.3,0.0,0.0,
208678,133836,110001,96123,,2019-05-21,1536,1536,79.6,51.1,42.0,36.7,
39100,18939,13780,8486,,2019-06-10,1536,1536,14.9,7.2,5.3,3.2,
2222,268,106,54,,2019-06-20,1536,1536,0.8,0.1,0.0,0.0,
2146,374,88,13,,2019-06-30,1536,1536,0.8,0.1,0.0,0.0,
1398,157,49,0,,2019-07-20,1536,1536,0.5,0.1,0.0,0.0,
5962,1168,475,132,,2019-07-30,1536,1536,2.3,0.4,0.2,0.1,
1236,127,72,10,,2019-08-09,1536,1536,0.5,0.0,0.0,0.0,
31840,13589,9363,6515,15034,2016-12-22,2048,1024,12.1,5.2,3.6,2.5,5.7
39425,19360,13853,9073,21759,2017-01-01,2048,1024,15.0,7.4,5.3,3.5,8.3
56630,30220,23762,17555,33509,2017-01-11,2048,1024,21.6,11.5,9.1,6.7,12.8
17211,3530,1352,416,3420,2017-02-10,2048,1024,6.6,1.3,0.5,0.2,1.3
241617,189875,158168,139188,201572,2017-02-20,2048,1024,92.2,72.4,60.3,53.1,76.9
26613,6835,2982,1689,6625,2017-03-02,2048,1024,10.2,2.6,1.1,0.6,2.5
21495,11175,7444,4288,13412,2017-03-12,2048,1024,8.2,4.3,2.8,1.6,5.1
5438,577,120,10,0,2017-04-01,2048,1024,2.1,0.2,0.0,0.0,0.0
5658,430,55,1,0,2017-04-11,2048,1024,2.2,0.2,0.0,0.0,0.0
262020,260762,257691,250330,261776,2017-05-01,2048,1024,100.0,99.5,98.3,95.5,99.9
3687,397,113,8,0,2017-05-11,2048,1024,1.4,0.2,0.0,0.0,0.0
20607,381,28,1,214,2017-05-21,2048,1024,7.9,0.1,0.0,0.0,0.1
235815,203185,183014,162583,215808,2017-05-31,2048,1024,90.0,77.5,69.8,62.0,82.3
6538,743,98,2,198,2017-06-20,2048,1024,2.5,0.3,0.0,0.0,0.1
55038,6709,3005,1314,6224,2017-07-10,2048,1024,21.0,2.6,1.1,0.5,2.4
5502,308,55,3,0,2017-07-20,2048,1024,2.1,0.1,0.0,0.0,0.0
10462,837,94,2,195,2017-07-30,2048,1024,4.0,0.3,0.0,0.0,0.1
1647,174,48,6,0,2017-08-09,2048,1024,0.6,0.1,0.0,0.0,0.0
1574,116,29,5,0,2017-08-19,2048,1024,0.6,0.0,0.0,0.0,0.0
2582,897,583,335,982,2017-09-08,2048,1024,1.0,0.3,0.2,0.1,0.4
28724,10056,7377,5990,10518,2017-09-18,2048,1024,11.0,3.8,2.8,2.3,4.0
158593,102488,88882,77008,114563,2017-09-28,2048,1024,60.5,39.1,33.9,29.4,43.7
83030,57778,47454,38934,65683,2017-10-08,2048,1024,31.7,22.0,18.1,14.9,25.1
4509,751,215,19,379,2017-10-28,2048,1024,1.7,0.3,0.1,0.0,0.1
51740,31657,23592,13256,37254,2017-11-07,2048,1024,19.7,12.1,9.0,5.1,14.2
181769,127480,112392,101776,138540,2017-11-17,2048,1024,69.3,48.6,42.9,38.8,52.8
77715,54649,47641,41728,59570,2017-11-27,2048,1024,29.6,20.8,18.2,15.9,22.7
215746,193799,173648,152118,203885,2017-12-07,2048,1024,82.3,73.9,66.2,58.0,77.8
192058,132926,113777,96613,146804,2017-12-17,2048,1024,73.3,50.7,43.4,36.9,56.0
46642,25521,18879,13683,29293,2017-12-27,2048,1024,17.8,9.7,7.2,5.2,11.2
209928,121595,82970,59725,139959,2018-01-06,2048,1024,80.1,46.4,31.7,22.8,53.4
68185,36425,27999,22058,41185,2018-01-26,2048,1024,26.0,13.9,10.7,8.4,15.7
21806,6398,2850,471,6902,2018-02-15,2048,1024,8.3,2.4,1.1,0.2,2.6
14835,5325,2493,1004,5605,2018-03-17,2048,1024,5.7,2.0,1.0,0.4,2.1
110477,14695,3204,316,15551,2018-04-16,2048,1024,42.1,5.6,1.2,0.1,5.9
7429,964,350,8,437,2018-04-26,2048,1024,2.8,0.4,0.1,0.0,0.2
52851,15063,6319,2067,16922,2018-05-06,2048,1024,20.2,5.7,2.4,0.8,6.5
16933,1549,305,35,1375,2018-05-26,2048,1024,6.5,0.6,0.1,0.0,0.5
13279,1369,197,10,828,2018-06-05,2048,1024,5.1,0.5,0.1,0.0,0.3
18079,2060,1037,485,1984,2018-06-15,2048,1024,6.9,0.8,0.4,0.2,0.8
260808,259220,257071,253045,261846,2018-06-25,2048,1024,99.5,98.9,98.1,96.5,99.9
12252,3675,1624,643,4062,2018-07-05,2048,1024,4.7,1.4,0.6,0.2,1.5
3061,237,35,2,0,2018-07-15,2048,1024,1.2,0.1,0.0,0.0,0.0
2833,145,20,0,0,2018-07-25,2048,1024,1.1,0.1,0.0,0.0,0.0
8403,2460,1711,978,2874,2018-08-04,2048,1024,3.2,0.9,0.7,0.4,1.1
7487,1084,105,5,974,2018-08-14,2048,1024,2.9,0.4,0.0,0.0,0.4
34278,21645,16688,11810,25876,2018-08-24,2048,1024,13.1,8.3,6.4,4.5,9.9
722,84,16,1,0,2018-09-03,2048,1024,0.3,0.0,0.0,0.0,0.0
54881,33532,26956,19658,38343,2018-09-13,2048,1024,20.9,12.8,10.3,7.5,14.6
261393,259077,254539,240353,260697,2018-10-03,2048,1024,99.7,98.8,97.1,91.7,99.4
76592,46847,38035,30896,53497,2018-10-23,2048,1024,29.2,17.9,14.5,11.8,20.4
11438,1224,257,21,623,2018-11-02,2048,1024,4.4,0.5,0.1,0.0,0.2
14840,2034,432,46,1152,2018-11-12,2048,1024,5.7,0.8,0.2,0.0,0.4
37641,4637,1022,287,3624,2018-11-22,2048,1024,14.4,1.8,0.4,0.1,1.4
72277,27497,19399,14658,32773,2018-12-02,2048,1024,27.6,10.5,7.4,5.6,12.5
95046,19999,6492,2317,21687,2019-01-01,2048,1024,36.3,7.6,2.5,0.9,8.3
112436,62011,50170,42347,66906,2019-01-21,2048,1024,42.9,23.7,19.1,16.2,25.5
8904,3395,1685,236,3592,2019-02-20,2048,1024,3.4,1.3,0.6,0.1,1.4
128690,96494,85477,75108,102104,2019-03-02,2048,1024,49.1,36.8,32.6,28.7,38.9
21997,10036,6114,1698,11610,2019-03-12,2048,1024,8.4,3.8,2.3,0.6,4.4
211133,83058,57639,49772,86673,2019-04-11,2048,1024,80.5,31.7,22.0,19.0,33.1
142948,107433,92240,77874,116313,2019-04-21,2048,1024,54.5,41.0,35.2,29.7,44.4
53311,17238,7929,2183,20574,2019-05-01,2048,1024,20.3,6.6,3.0,0.8,7.8
4129,346,33,9,103,2019-05-11,2048,1024,1.6,0.1,0.0,0.0,0.0
164185,43636,23746,13202,48951,2019-05-21,2048,1024,62.6,16.6,9.1,5.0,18.7
46544,22159,15947,10259,25534,2019-06-10,2048,1024,17.8,8.5,6.1,3.9,9.7
2835,295,76,3,0,2019-06-20,2048,1024,1.1,0.1,0.0,0.0,0.0
4905,489,41,0,197,2019-06-30,2048,1024,1.9,0.2,0.0,0.0,0.1
3676,327,76,9,0,2019-07-20,2048,1024,1.4,0.1,0.0,0.0,0.0
46735,24552,14319,6514,27653,2019-07-30,2048,1024,17.8,9.4,5.5,2.5,10.5
1954,149,30,1,0,2019-08-09,2048,1024,0.7,0.1,0.0,0.0,0.0
12542,7254,2499,142,7883,2016-12-22,2048,1536,4.8,2.8,1.0,0.1,3.0
24933,9195,7475,4516,9609,2017-01-01,2048,1536,9.5,3.5,2.9,1.7,3.7
112258,65607,46187,20201,75295,2017-01-11,2048,1536,42.8,25.0,17.6,7.7,28.7
117669,81210,69305,59530,88248,2017-02-10,2048,1536,44.9,31.0,26.4,22.7,33.7
252017,239109,233017,226504,243320,2017-02-20,2048,1536,96.1,91.2,88.9,86.4,92.8
110344,70431,59376,47778,76783,2017-03-02,2048,1536,42.1,26.9,22.7,18.2,29.3
14435,6558,3988,2005,7367,2017-03-12,2048,1536,5.5,2.5,1.5,0.8,2.8
8674,2739,866,137,3213,2017-04-01,2048,1536,3.3,1.0,0.3,0.1,1.2
11879,5511,1769,14,6605,2017-04-11,2048,1536,4.5,2.1,0.7,0.0,2.5
255279,233294,217151,195260,244150,2017-05-01,2048,1536,97.4,89.0,82.8,74.5,93.1
6124,1017,160,2,982,2017-05-11,2048,1536,2.3,0.4,0.1,0.0,0.4
20596,1116,215,32,951,2017-05-21,2048,1536,7.9,0.4,0.1,0.0,0.4
257748,252798,247258,236896,258302,2017-05-31,2048,1536,98.3,96.4,94.3,90.4,98.5
6045,430,32,0,0,2017-06-20,2048,1536,2.3,0.2,0.0,0.0,0.0
100444,38319,26169,17917,43995,2017-07-10,2048,1536,38.3,14.6,10.0,6.8,16.8
9852,1806,891,191,1842,2017-07-20,2048,1536,3.8,0.7,0.3,0.1,0.7
21047,6658,3533,910,7552,2017-07-30,2048,1536,8.0,2.5,1.3,0.3,2.9
5232,2287,1562,17,2726,2017-08-09,2048,1536,2.0,0.9,0.6,0.0,1.0
3381,970,152,4,1188,2017-08-19,2048,1536,1.3,0.4,0.1,0.0,0.5
1548,31,7,0,0,2017-09-08,2048,1536,0.6,0.0,0.0,0.0,0.0
19035,6299,4478,3085,6882,2017-09-18,2048,1536,7.3,2.4,1.7,1.2,2.6
144074,101038,86355,75254,111814,2017-09-28,2048,1536,55.0,38.5,32.9,28.7,42.7
8982,2924,1879,1100,3381,2017-10-08,2048,1536,3.4,1.1,0.7,0.4,1.3
2225,192,30,2,0,2017-10-28,2048,1536,0.8,0.1,0.0,0.0,0.0
46641,32088,26647,20339,36743,2017-11-07,2048,1536,17.8,12.2,10.2,7.8,14.0
93799,56439,45966,37684,61128,2017-11-17,2048,1536,35.8,21.5,17.5,14.4,23.3
186738,152048,141611,132804,161720,2017-11-27,2048,1536,71.2,58.0,54.0,50.7,61.7
260137,257846,255177,250584,259447,2017-12-07,2048,1536,99.2,98.4,97.3,95.6,99.0
215923,168666,148260,130303,182336,2017-12-17,2048,1536,82.4,64.3,56.6,49.7,69.6
38601,17572,12978,9469,20430,2017-12-27,2048,1536,14.7,6.7,5.0,3.6,7.8
96633,36719,19883,12809,43722,2018-01-06,2048,1536,36.9,14.0,7.6,4.9,16.7
113531,70359,59177,52863,77398,2018-01-26,2048,1536,43.3,26.8,22.6,20.2,29.5
99382,27832,11388,2468,31291,2018-02-15,2048,1536,37.9,10.6,4.3,0.9,11.9
13965,1665,294,117,931,2018-03-17,2048,1536,5.3,0.6,0.1,0.0,0.4
241716,173873,135431,110875,187267,2018-04-16,2048,1536,92.2,66.3,51.7,42.3,71.4
13277,6597,3703,1085,7217,2018-04-26,2048,1536,5.1,2.5,1.4,0.4,2.8
151586,111380,90999,66583,119167,2018-05-06,2048,1536,57.8,42.5,34.7,25.4,45.5
25789,9046,5484,3805,10000,2018-05-26,2048,1536,9.8,3.5,2.1,1.5,3.8
9219,1169,121,3,838,2018-06-05,2048,1536,3.5,0.4,0.0,0.0,0.3
18180,6835,4045,1754,8351,2018-06-15,2048,1536,6.9,2.6,1.5,0.7,3.2
248143,234971,223157,206482,246223,2018-06-25,2048,1536,94.7,89.6,85.1,78.8,93.9
11808,4049,2582,1913,4370,2018-07-05,2048,1536,4.5,1.5,1.0,0.7,1.7
1758,245,18,0,200,2018-07-15,2048,1536,0.7,0.1,0.0,0.0,0.1
5426,813,22,3,519,2018-07-25,2048,1536,2.1,0.3,0.0,0.0,0.2
29663,16560,10986,6349,19509,2018-08-04,2048,1536,11.3,6.3,4.2,2.4,7.4
6160,2230,559,0,2644,2018-08-14,2048,1536,2.3,0.9,0.2,0.0,1.0
7756,2787,1198,395,3696,2018-08-24,2048,1536,3.0,1.1,0.5,0.2,1.4
2324,281,13,0,219,2018-09-03,2048,1536,0.9,0.1,0.0,0.0,0.1
34130,16279,12500,9551,18455,2018-09-13,2048,1536,13.0,6.2,4.8,3.6,7.0
262140,262047,261486,257268,262144,2018-10-03,2048,1536,100.0,100.0,99.7,98.1,100.0
16471,5339,3678,2447,6260,2018-10-23,2048,1536,6.3,2.0,1.4,0.9,2.4
27672,8754,3927,1779,10068,2018-11-02,2048,1536,10.6,3.3,1.5,0.7,3.8
55314,35121,30170,27315,37631,2018-11-12,2048,1536,21.1,13.4,11.5,10.4,14.4
83411,24536,16233,13116,25892,2018-11-22,2048,1536,31.8,9.4,6.2,5.0,9.9
99551,56273,46600,39068,64572,2018-12-02,2048,1536,38.0,21.5,17.8,14.9,24.6
224271,175230,147857,127420,190140,2019-01-01,2048,1536,85.6,66.8,56.4,48.6,72.5
84403,24161,14609,10336,25067,2019-01-21,2048,1536,32.2,9.2,5.6,3.9,9.6
7594,3166,1247,56,3654,2019-02-20,2048,1536,2.9,1.2,0.5,0.0,1.4
117742,70883,55877,44362,80165,2019-03-02,2048,1536,44.9,27.0,21.3,16.9,30.6
9206,3175,1504,112,3687,2019-03-12,2048,1536,3.5,1.2,0.6,0.0,1.4
211672,119997,87288,68749,134630,2019-04-11,2048,1536,80.7,45.8,33.3,26.2,51.4
213533,167109,138720,106339,183377,2019-04-21,2048,1536,81.5,63.7,52.9,40.6,70.0
202077,164807,142696,100043,175684,2019-05-01,2048,1536,77.1,62.9,54.4,38.2,67.0
11187,4708,1667,24,5401,2019-05-11,2048,1536,4.3,1.8,0.6,0.0,2.1
168430,90371,70698,56708,98692,2019-05-21,2048,1536,64.3,34.5,27.0,21.6,37.6
40834,15014,8978,5063,17479,2019-06-10,2048,1536,15.6,5.7,3.4,1.9,6.7
3396,264,49,3,208,2019-06-20,2048,1536,1.3,0.1,0.0,0.0,0.1
3388,280,33,4,56,2019-06-30,2048,1536,1.3,0.1,0.0,0.0,0.0
3483,990,135,1,996,2019-07-20,2048,1536,1.3,0.4,0.1,0.0,0.4
12401,2543,583,96,1690,2019-07-30,2048,1536,4.7,1.0,0.2,0.0,0.6
2718,696,33,1,756,2019-08-09,2048,1536,1.0,0.3,0.0,0.0,0.3
63785,46648,39962,32882,55340,2016-12-22,4608,4608,24.3,17.8,15.2,12.5,21.1
225758,203212,187655,170783,211923,2017-01-01,4608,4608,86.1,77.5,71.6,65.1,80.8
101911,75802,60684,41159,86243,2017-01-11,4608,4608,38.9,28.9,23.1,15.7,32.9
25490,15780,10878,5711,19014,2017-02-10,4608,4608,9.7,6.0,4.1,2.2,7.3
116623,68673,43313,27739,76055,2017-02-20,4608,4608,44.5,26.2,16.5,10.6,29.0
56189,35964,29736,23606,39384,2017-03-02,4608,4608,21.4,13.7,11.3,9.0,15.0
40111,32213,27075,21587,37434,2017-03-12,4608,4608,15.3,12.3,10.3,8.2,14.3
57,0,0,0,0,2017-04-01,4608,4608,0.0,0.0,0.0,0.0,0.0
47,0,0,0,0,2017-04-11,4608,4608,0.0,0.0,0.0,0.0,0.0
261786,254525,246040,230551,257732,2017-05-01,4608,4608,99.9,97.1,93.9,87.9,98.3
5,0,0,0,0,2017-05-11,4608,4608,0.0,0.0,0.0,0.0,0.0
236399,198342,182621,165816,211360,2017-05-21,4608,4608,90.2,75.7,69.7,63.3,80.6
233970,201616,172633,141821,225942,2017-05-31,4608,4608,89.3,76.9,65.9,54.1,86.2
143613,120264,105437,84454,131547,2017-06-20,4608,4608,54.8,45.9,40.2,32.2,50.2
242026,158695,131381,105508,172770,2017-07-10,4608,4608,92.3,60.5,50.1,40.2,65.9
399,0,0,0,0,2017-07-20,4608,4608,0.2,0.0,0.0,0.0,0.0
131198,93052,82741,73070,101360,2017-07-30,4608,4608,50.0,35.5,31.6,27.9,38.7
144,0,0,0,0,2017-08-09,4608,4608,0.1,0.0,0.0,0.0,0.0
50,0,0,0,0,2017-08-19,4608,4608,0.0,0.0,0.0,0.0,0.0
1736,911,626,276,1273,2017-09-08,4608,4608,0.7,0.3,0.2,0.1,0.5
181620,124182,111024,97808,136104,2017-09-18,4608,4608,69.3,47.4,42.4,37.3,51.9
105687,83987,65226,46545,94204,2017-09-28,4608,4608,40.3,32.0,24.9,17.8,35.9
50619,39992,31090,21076,46540,2017-10-08,4608,4608,19.3,15.3,11.9,8.0,17.8
18,0,0,0,0,2017-10-28,4608,4608,0.0,0.0,0.0,0.0,0.0
1819,387,10,0,350,2017-11-07,4608,4608,0.7,0.1,0.0,0.0,0.1
229510,193920,178299,161045,206749,2017-11-17,4608,4608,87.6,74.0,68.0,61.4,78.9
66191,49721,43318,37978,56178,2017-11-27,4608,4608,25.2,19.0,16.5,14.5,21.4
2899,2021,1623,1121,2643,2017-12-07,4608,4608,1.1,0.8,0.6,0.4,1.0
66276,37505,31266,26874,42329,2017-12-17,4608,4608,25.3,14.3,11.9,10.3,16.1
53267,42018,34683,24054,47739,2017-12-27,4608,4608,20.3,16.0,13.2,9.2,18.2
260494,246331,234919,220484,250320,2018-01-06,4608,4608,99.4,94.0,89.6,84.1,95.5
261814,249466,235585,223645,253968,2018-01-26,4608,4608,99.9,95.2,89.9,85.3,96.9
261671,260133,258139,255018,261355,2018-02-15,4608,4608,99.8,99.2,98.5,97.3,99.7
32704,25613,21266,16878,30345,2018-03-17,4608,4608,12.5,9.8,8.1,6.4,11.6
260895,253698,241449,214985,257273,2018-04-16,4608,4608,99.5,96.8,92.1,82.0,98.1
82,0,0,0,0,2018-04-26,4608,4608,0.0,0.0,0.0,0.0,0.0
261274,247105,240024,234813,249446,2018-05-06,4608,4608,99.7,94.3,91.6,89.6,95.2
83273,47191,35835,26237,53043,2018-05-26,4608,4608,31.8,18.0,13.7,10.0,20.2
183,0,0,0,0,2018-06-05,4608,4608,0.1,0.0,0.0,0.0,0.0
2263,1309,833,272,1645,2018-06-15,4608,4608,0.9,0.5,0.3,0.1,0.6
12418,2353,623,120,2407,2018-06-25,4608,4608,4.7,0.9,0.2,0.0,0.9
157388,129047,114266,98335,146221,2018-07-05,4608,4608,60.0,49.2,43.6,37.5,55.8
316,0,0,0,0,2018-07-15,4608,4608,0.1,0.0,0.0,0.0,0.0
695,0,0,0,0,2018-07-25,4608,4608,0.3,0.0,0.0,0.0,0.0
1628,624,208,28,803,2018-08-04,4608,4608,0.6,0.2,0.1,0.0,0.3
326,0,0,0,0,2018-08-14,4608,4608,0.1,0.0,0.0,0.0,0.0
3609,1902,1084,356,2750,2018-08-24,4608,4608,1.4,0.7,0.4,0.1,1.0
3,0,0,0,0,2018-09-03,4608,4608,0.0,0.0,0.0,0.0,0.0
98023,79184,71607,63924,86904,2018-09-13,4608,4608,37.4,30.2,27.3,24.4,33.2
207920,137603,105403,90004,153394,2018-10-03,4608,4608,79.3,52.5,40.2,34.3,58.5
145967,126208,114904,103038,136000,2018-10-23,4608,4608,55.7,48.1,43.8,39.3,51.9
153193,122013,106996,96365,133837,2018-11-02,4608,4608,58.4,46.5,40.8,36.8,51.1
93854,70539,60586,52859,78558,2018-11-12,4608,4608,35.8,26.9,23.1,20.2,30.0
239520,196752,172972,147719,213921,2018-11-22,4608,4608,91.4,75.1,66.0,56.4,81.6
88673,57739,48904,42515,65323,2018-12-02,4608,4608,33.8,22.0,18.7,16.2,24.9
247887,234500,229482,222712,238053,2019-01-01,4608,4608,94.6,89.5,87.5,85.0,90.8
150989,113794,94634,84061,125914,2019-01-21,4608,4608,57.6,43.4,36.1,32.1,48.0
400,4,0,0,0,2019-02-20,4608,4608,0.2,0.0,0.0,0.0,0.0
158752,121554,99730,77481,135124,2019-03-02,4608,4608,60.6,46.4,38.0,29.6,51.5
43,0,0,0,0,2019-03-12,4608,4608,0.0,0.0,0.0,0.0,0.0
261241,243233,211069,188517,251276,2019-04-11,4608,4608,99.7,92.8,80.5,71.9,95.9
260308,254477,242712,195285,256673,2019-04-21,4608,4608,99.3,97.1,92.6,74.5,97.9
100159,56099,41784,32106,62705,2019-05-01,4608,4608,38.2,21.4,15.9,12.2,23.9
72,1,0,0,0,2019-05-11,4608,4608,0.0,0.0,0.0,0.0,0.0
176052,99733,74758,46323,109157,2019-05-21,4608,4608,67.2,38.0,28.5,17.7,41.6
222749,163563,137474,119236,174857,2019-06-10,4608,4608,85.0,62.4,52.4,45.5,66.7
125,0,0,0,0,2019-06-20,4608,4608,0.0,0.0,0.0,0.0,0.0
1105,576,323,135,889,2019-06-30,4608,4608,0.4,0.2,0.1,0.1,0.3
97,1,0,0,0,2019-07-20,4608,4608,0.0,0.0,0.0,0.0,0.0
